"","X1","X2","Correlation","p.adj"
"5240","vir_ASV_407","ASV_50",0.757023999404258,6.00742169559284e-17
"5274","vir_ASV_234","ASV_50",0.738725971854212,8.81477307518005e-16
"5076","vir_ASV_451","ASV_50",0.649442125125542,3.02400926683012e-10
"5289","vir_ASV_488","ASV_50",0.639504277288022,7.51487119359058e-10
"5003","vir_ASV_259","ASV_50",0.629360988782728,1.95376407613089e-09
"2007","vir_ASV_14","ASV_16",-0.599879316186608,3.52087908115389e-08
"13377","vir_ASV_662","ASV_144",0.599536850510233,3.52087908115389e-08
"2514","vir_ASV_377","ASV_18",0.593266793678634,5.24151418320361e-08
"5207","vir_ASV_343","ASV_50",0.593041939141254,5.24151418320361e-08
"5293","vir_ASV_161","ASV_50",0.592092789234484,5.24151418320361e-08
"14765","vir_ASV_440","ASV_198",0.588844201358525,6.58368066576536e-08
"2750","vir_ASV_407","ASV_18",0.587850297260793,6.65772881834736e-08
"10032","vir_ASV_7","ASV_113",0.585196626684879,7.80862434859325e-08
"13091","vir_ASV_359","ASV_144",0.584653374188882,7.80862434859325e-08
"5004","vir_ASV_377","ASV_50",0.575217686366892,1.8033309739844e-07
"5286","vir_ASV_629","ASV_50",0.5739281838115,1.90919630196735e-07
"13114","vir_ASV_448","ASV_144",0.573246949615664,1.91568952704338e-07
"5264","vir_ASV_115","ASV_50",0.571502800444426,2.13008347242797e-07
"6723","vir_ASV_287","ASV_70",0.568799394212597,2.59408925040596e-07
"13013","vir_ASV_181","ASV_144",0.566810307138003,2.96026229048469e-07
"5026","vir_ASV_74","ASV_50",0.56109212086024,4.74364412995131e-07
"3952","vir_ASV_49","ASV_27",0.557774444983679,6.0961912041863e-07
"4677","vir_ASV_219","ASV_41",-0.556666305783802,6.43539253102065e-07
"4998","vir_ASV_402","ASV_50",0.553285307046505,8.31335016715359e-07
"2660","vir_ASV_45","ASV_18",0.549524928058893,1.1081335774887e-06
"2784","vir_ASV_234","ASV_18",0.548930279496221,1.12186018323275e-06
"2741","vir_ASV_263","ASV_18",0.546264468110193,1.21164128768653e-06
"4300","vir_ASV_93","ASV_37",-0.545265174229512,1.21164128768653e-06
"5280","vir_ASV_719","ASV_50",0.546082079473852,1.21164128768653e-06
"5458","vir_ASV_393","ASV_50",0.546172984331246,1.21164128768653e-06
"10084","vir_ASV_182","ASV_113",0.545945981331633,1.21164128768653e-06
"13335","vir_ASV_427","ASV_144",0.545643153595892,1.21164128768653e-06
"14868","vir_ASV_1","ASV_198",-0.545620086431124,1.21164128768653e-06
"10025","vir_ASV_181","ASV_113",0.544551133673727,1.24998102442685e-06
"13218","vir_ASV_186","ASV_144",0.542775338878294,1.41233024383064e-06
"2717","vir_ASV_343","ASV_18",0.54074317975928,1.60972413407594e-06
"10054","vir_ASV_68","ASV_113",0.540570446689507,1.60972413407594e-06
"3953","vir_ASV_124","ASV_27",0.539899082907069,1.65844749874334e-06
"5229","vir_ASV_287","ASV_50",0.535490045495095,2.33452989081092e-06
"10086","vir_ASV_96","ASV_113",0.534837698696137,2.40242417194801e-06
"2648","vir_ASV_155","ASV_18",0.533536717809013,2.60936624699738e-06
"5242","vir_ASV_168","ASV_50",0.529734874798216,3.4578501303131e-06
"13424","vir_ASV_256","ASV_144",0.52951173987206,3.4578501303131e-06
"1045","vir_ASV_128","ASV_10",0.52844637849241,3.55688647726198e-06
"2796","vir_ASV_629","ASV_18",0.528326903955747,3.55688647726198e-06
"4179","vir_ASV_219","ASV_37",-0.528066009358572,3.55688647726198e-06
"5440","vir_ASV_831","ASV_50",0.528483773668654,3.55688647726198e-06
"14871","vir_ASV_662","ASV_198",0.527161157757717,3.74678051975758e-06
"13159","vir_ASV_289","ASV_144",0.526561698688926,3.85189266900656e-06
"2458","vir_ASV_49","ASV_16",-0.526169875319718,3.89569827734961e-06
"5271","vir_ASV_342","ASV_50",0.524333480036998,4.40739820347068e-06
"15012","vir_ASV_7","ASV_200",0.524139673034142,4.40739820347068e-06
"10171","vir_ASV_289","ASV_113",0.523044590528126,4.7186198815809e-06
"14924","vir_ASV_235","ASV_198",-0.521614545387728,5.18793871385438e-06
"15064","vir_ASV_182","ASV_200",0.520006558799271,5.78343775265607e-06
"1518","vir_ASV_377","ASV_11",0.519249092329933,5.92323194573023e-06
"14829","vir_ASV_427","ASV_198",0.519307798737572,5.92323194573023e-06
"2679","vir_ASV_130","ASV_18",0.518375991431345,6.12829264887935e-06
"10386","vir_ASV_1","ASV_113",-0.518588760423404,6.12829264887935e-06
"7590","vir_ASV_603","ASV_85",0.517889075630252,6.26036136158117e-06
"14653","vir_ASV_289","ASV_198",0.517658305787802,6.26988827913114e-06
"15066","vir_ASV_96","ASV_200",0.516469190495417,6.76859264156981e-06
"5122","vir_ASV_594","ASV_50",0.516085097725029,6.86331348304555e-06
"13162","vir_ASV_109","ASV_144",0.514766278572767,7.36922261776945e-06
"14507","vir_ASV_181","ASV_198",0.514819719775636,7.36922261776945e-06
"7510","vir_ASV_252","ASV_85",0.513490173008235,8.00999375778107e-06
"10159","vir_ASV_129","ASV_113",0.511898004651451,8.78764818075193e-06
"12766","vir_ASV_93","ASV_143",0.511957859364542,8.78764818075193e-06
"5262","vir_ASV_113","ASV_50",0.509940522708758,1.0059419986493e-05
"3639","vir_ASV_30","ASV_27",0.509245070409108,1.03079605695075e-05
"5233","vir_ASV_628","ASV_50",0.50935433241617,1.03079605695075e-05
"27777","vir_ASV_427","ASV_619",0.508376927843586,1.08579793565554e-05
"14420","vir_ASV_256","ASV_186",0.507424549741688,1.15105787549239e-05
"6663","vir_ASV_130","ASV_70",0.506908682234379,1.18034390498757e-05
"21677","vir_ASV_481","ASV_358",0.50673440251098,1.18034390498757e-05
"6205","vir_ASV_36","ASV_60",-0.506121765461792,1.21988871645142e-05
"28437","vir_ASV_681","ASV_633",0.505459241699563,1.26560003134968e-05
"14070","vir_ASV_96","ASV_186",0.505036751760303,1.28966492168375e-05
"2806","vir_ASV_93","ASV_18",0.504765254054832,1.29954853690382e-05
"5155","vir_ASV_187","ASV_50",0.500499387797991,1.76338420876905e-05
"6821","vir_ASV_19","ASV_70",0.499283630344382,1.88197198552749e-05
"10088","vir_ASV_176","ASV_113",0.499297271628416,1.88197198552749e-05
"2739","vir_ASV_287","ASV_18",0.496220278582888,2.32767245469556e-05
"13042","vir_ASV_68","ASV_144",0.49555753301264,2.41381872204452e-05
"13374","vir_ASV_1","ASV_144",-0.495199985326331,2.44831498694894e-05
"15005","vir_ASV_181","ASV_200",0.493623156268499,2.71317799021954e-05
"6644","vir_ASV_45","ASV_70",0.493134664778564,2.77843679396082e-05
"18269","vir_ASV_449","ASV_308",0.492311829973313,2.91492526120202e-05
"2145","vir_ASV_30","ASV_16",-0.492088390238045,2.92894836471197e-05
"5348","vir_ASV_541","ASV_50",0.491901154016042,2.93571677998019e-05
"13147","vir_ASV_129","ASV_144",0.491594283965204,2.96827157855686e-05
"17993","vir_ASV_181","ASV_308",0.491320555237981,2.9943468575096e-05
"14918","vir_ASV_256","ASV_198",0.490966510885528,3.0384213776756e-05
"10005","vir_ASV_16","ASV_113",-0.490023323430877,3.1492890720735e-05
"11000","vir_ASV_111","ASV_130",-0.490301408843332,3.1492890720735e-05
"14585","vir_ASV_359","ASV_198",0.490109699425306,3.1492890720735e-05
"35977","vir_ASV_412","ASV_962",0.489603323145341,3.21184342516317e-05
"13072","vir_ASV_182","ASV_144",0.489072832206471,3.30178253668771e-05
"1542","vir_ASV_229","ASV_11",0.48885924892363,3.31859200722255e-05
"24558","vir_ASV_465","ASV_463",0.488655457649532,3.33346667339935e-05
"5307","vir_ASV_146","ASV_50",0.48808966959623,3.40239562888477e-05
"24008","vir_ASV_23","ASV_434",-0.488175499845722,3.40239562888477e-05
"2108","vir_ASV_2","ASV_16",0.48749792643771,3.51402744052806e-05
"13074","vir_ASV_96","ASV_144",0.48716470200179,3.56348578039075e-05
"11748","vir_ASV_234","ASV_131",0.486502183569727,3.69911274977639e-05
"4924","vir_ASV_487","ASV_41",0.486299412687897,3.71714458807763e-05
"18139","vir_ASV_289","ASV_308",0.486052304333098,3.74189379569909e-05
"41492","vir_ASV_155","ASV_1310",0.485940983982382,3.74189379569909e-05
"15068","vir_ASV_176","ASV_200",0.485661828362177,3.78135166948559e-05
"2743","vir_ASV_628","ASV_18",0.485265906152039,3.85306204814374e-05
"32279","vir_ASV_391","ASV_735",0.485125899280575,3.85620183138398e-05
"2817","vir_ASV_146","ASV_18",0.484845837205775,3.88445101374099e-05
"11703","vir_ASV_287","ASV_131",0.484768564556524,3.88445101374099e-05
"6790","vir_ASV_93","ASV_70",0.483950290413529,4.07824257257315e-05
"18354","vir_ASV_1","ASV_308",-0.483808226968354,4.07824257257315e-05
"18357","vir_ASV_662","ASV_308",0.483702422012488,4.07824257257315e-05
"13134","vir_ASV_11","ASV_144",0.483078343060224,4.22407501163781e-05
"14087","vir_ASV_359","ASV_186",0.482937888481804,4.22963936384819e-05
"4798","vir_ASV_93","ASV_41",-0.481925725829116,4.50129613255316e-05
"10103","vir_ASV_359","ASV_113",0.481384502135912,4.6353035424297e-05
"11372","vir_ASV_207","ASV_130",-0.481254986924793,4.63861563682192e-05
"2772","vir_ASV_113","ASV_18",0.480794591627849,4.75023790812847e-05
"21162","vir_ASV_304","ASV_356",0.480222435074215,4.90250103976955e-05
"5138","vir_ASV_155","ASV_50",0.479924242828751,4.96452433876254e-05
"18054","vir_ASV_96","ASV_308",0.478472997999143,5.44445974713929e-05
"2534","vir_ASV_111","ASV_18",0.477974803535094,5.58989137641053e-05
"28388","vir_ASV_764","ASV_633",0.477684445462578,5.65781345763222e-05
"11959","vir_ASV_95","ASV_135",-0.476872137103608,5.89435363525717e-05
"18071","vir_ASV_359","ASV_308",0.476860817685098,5.89435363525717e-05
"2781","vir_ASV_342","ASV_18",0.476623097590165,5.92038062456426e-05
"12118","vir_ASV_448","ASV_135",0.476572228853855,5.92038062456426e-05
"2956","vir_ASV_49","ASV_18",-0.476435085316297,5.93101146821235e-05
"14370","vir_ASV_1","ASV_186",-0.476244507355627,5.94461355818287e-05
"36325","vir_ASV_337","ASV_962",0.476182070923578,5.94461355818287e-05
"3590","vir_ASV_23","ASV_27",0.475782503264714,6.04726102229382e-05
"6768","vir_ASV_234","ASV_70",0.475715255100198,6.04726102229382e-05
"14198","vir_ASV_199","ASV_186",-0.47449295963879,6.52520576358609e-05
"15034","vir_ASV_68","ASV_200",0.474342905044344,6.5444351817474e-05
"1011","vir_ASV_14","ASV_10",-0.474111495307344,6.60045857433979e-05
"3654","vir_ASV_69","ASV_27",0.473943966136734,6.62838694800817e-05
"6701","vir_ASV_343","ASV_70",0.473536430597299,6.76612332980855e-05
"5092","vir_ASV_208","ASV_50",0.4732389925328,6.85544845328997e-05
"18251","vir_ASV_440","ASV_308",0.472843576797271,6.99242517333875e-05
"4499","vir_ASV_112","ASV_41",0.472351570249305,7.17899879139849e-05
"16587","vir_ASV_30","ASV_244",-0.471877899184637,7.36140187088693e-05
"1550","vir_ASV_47","ASV_11",0.471568092343822,7.46546936139375e-05
"15083","vir_ASV_359","ASV_200",0.471306874749443,7.54645210072627e-05
"5416","vir_ASV_221","ASV_50",0.47113836098656,7.58106578048954e-05
"21584","vir_ASV_45","ASV_358",-0.471005543706603,7.59785427756168e-05
"3621","vir_ASV_105","ASV_27",0.469113185375339,8.56967494400094e-05
"13129","vir_ASV_88","ASV_144",0.468706695915737,8.74113085347063e-05
"21718","vir_ASV_381","ASV_358",0.468618982590179,8.74113085347063e-05
"21416","vir_ASV_764","ASV_358",0.468229301029449,8.9129884709699e-05
"10424","vir_ASV_125","ASV_113",-0.467289135326019,9.30688027988641e-05
"13271","vir_ASV_440","ASV_144",0.467373614497537,9.30688027988641e-05
"14712","vir_ASV_186","ASV_198",0.467315232193166,9.30688027988641e-05
"5169","vir_ASV_130","ASV_50",0.467044542211821,9.3993043626692e-05
"36301","vir_ASV_123","ASV_962",0.466879037021943,9.44314892345314e-05
"5437","vir_ASV_164","ASV_50",0.466673039922793,9.45361901983218e-05
"37070","vir_ASV_144","ASV_974",0.466700433806665,9.45361901983218e-05
"17896","vir_ASV_49","ASV_260",0.466395953916143,9.56932982284896e-05
"14009","vir_ASV_181","ASV_186",0.466270858251645,9.58952304432174e-05
"10180","vir_ASV_314","ASV_113",0.465794036313188,9.83673251039666e-05
"21730","vir_ASV_93","ASV_358",-0.465458174021806,9.99656328227034e-05
"10076","vir_ASV_2","ASV_113",0.465028608258405,0.000102222310896968
