"","ASV_7","ASV_8","ASV_10","ASV_11","ASV_16","ASV_18","ASV_20","ASV_27","ASV_37","ASV_41","ASV_42","ASV_50","ASV_55","ASV_60","ASV_70","ASV_83","ASV_85","ASV_88","ASV_89","ASV_101","ASV_110","ASV_113","ASV_129","ASV_130","ASV_131","ASV_135","ASV_143","ASV_144","ASV_171","ASV_186","ASV_198","ASV_200","ASV_219","ASV_227","ASV_244","ASV_259","ASV_260","ASV_308","ASV_318","ASV_323","ASV_326","ASV_335","ASV_341","ASV_356","ASV_358","ASV_360","ASV_373","ASV_407","ASV_417","ASV_434","ASV_463","ASV_500","ASV_530","ASV_535","ASV_566","ASV_615","ASV_619","ASV_625","ASV_633","ASV_657","ASV_677","ASV_683","ASV_694","ASV_697","ASV_717","ASV_735","ASV_740","ASV_764","ASV_766","ASV_771","ASV_780","ASV_838","ASV_885","ASV_962","ASV_964","ASV_974","ASV_1030","ASV_1043","ASV_1044","ASV_1061","ASV_1149","ASV_1154","ASV_1165","ASV_1204","ASV_1310","ASV_1321","ASV_1453","ASV_1580","ASV_1651","ASV_1669","ASV_1673","ASV_1675","ASV_1924","ASV_1968"
"10.10.2006.1",0.0325283327740581,0.0333671383005639,0,0.292633595419538,0.012877129180345,0,0.0619480356661028,0.0334852524338099,0.0421502994304682,0.0459161045160923,0.0252901796582809,0,0,0.0125667913064663,0.00931978186746625,0.0317917467267493,0,0,0.0168601197721873,0.0296053973585652,0,0.0115860091135488,0,0.0362045746148785,0.012877129180345,0,0,0,0.0168601197721873,0,0,0,0,0,0,0,0,0,0,0.0168601197721873,0.0146012920335625,0,0.0140500998101561,0,0.0175485690383445,0,0,0,0,0,0,0,0,0,0,0,0,0.0148692279973235,0,0,0,0,0.00397396834084367,0.0134763823150473,0,0,0,0.0151324206068759,0,0,0.0217663210309146,0,0,0,0,0,0,0,0,0,0,0,0.00973419468904165,0,0,0,0,0,0.00688311507401143,0,0,0,0,0
"16.10.2006.2b",0.013897067618146,0,0,0.049329696468049,0,0,0,0,0.0390604026890179,0.0419221808150319,0,0,0,0,0,0.0206126823689521,0,0,0,0,0,0,0,0.045245574113533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152234748352663,0,0,0,0,0,0,0.00878927729414248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13.06.2006.1c",0,0.0260153250626426,0,0,0,0,0.00802850361503704,0.206470730595054,0.194825664366754,0.126273585082696,0,0,0,0,0,0.158041251703335,0,0,0.141953615933143,0.11030065398036,0,0,0,0.0206646259514996,0,0,0,0,0.0590654561042821,0,0,0,0,0,0,0,0.07297772885108,0,0.0286674919775423,0.0421018281450845,0.0398403116335116,0,0.0432348151216496,0,0.0167928201189645,0,0,0,0,0,0,0,0,0.0328580671596657,0,0,0,0.014473590724632,0.0190412682198095,0,0.0085155140234601,0,0,0.0310942607960045,0,0.0244177404819555,0,0,0,0,0,0.0150199549279723,0,0,0,0,0,0.00941425497094227,0,0.0165511842102255,0,0,0,0,0,0.00634708940660317,0.00491643431373272,0,0,0,0,0,0,0
"13.06.2006.2c",0,0.011587944518547,0,0,0,0,0,0.168284724877163,0.172656484710575,0.0917572053134831,0.121756160342742,0,0,0.0167925269732205,0,0.118344631422813,0,0,0.102538577493124,0.0900585347047206,0,0,0,0.0137110408587712,0,0,0,0,0.0787639331624536,0,0,0,0,0,0,0,0.0556945112520949,0,0.0364606162294707,0.0302176623106666,0.033585053946441,0,0.0329798682704446,0,0.0266774516825369,0,0,0,0,0,0,0,0,0.034763833555641,0,0,0,0,0.0207291453303737,0,0.00969516996836292,0,0,0.0325701645605744,0,0,0,0,0,0,0,0.0141922756190607,0,0,0.00634697860792653,0,0.0137110408587712,0.0103645726651869,0,0.0200709086614127,0,0,0.0089759832274216,0.0089759832274216,0,0.011587944518547,0,0,0,0,0.00634697860792653,0,0,0
"27.06.2006.1",0,0.038473896785844,0.0245719841407266,0,0,0,0.169494413915267,0.054588994490989,0.0377068982893413,0.0371867782293568,0.048142967914744,0,0.0275607913294515,0,0,0,0,0.0704740888499363,0.0430151242862289,0.0286011848354332,0,0,0.0411641361292359,0.11216972068275,0,0.049734898951677,0,0,0.021620463507528,0,0,0,0.0170924771880854,0.0245719841407266,0,0,0.0187238706391137,0,0.0399637566359553,0.0257334987884889,0,0,0,0,0,0.0305759527171387,0,0.0469135827780184,0.013239775898977,0,0,0,0.013239775898977,0,0.0165129017638796,0,0,0,0.0159122302931379,0,0,0,0.0268448042492808,0,0,0.022931964537854,0,0.0139559491836569,0,0,0.013239775898977,0,0,0,0,0,0,0.0170924771880854,0,0.010810231753764,0,0,0.00882651726598464,0,0,0,0,0,0,0,0,0.00764398817928467,0,0.0159122302931379
"27.06.2006.2",0,0,0,0,0,0,0.174206420454512,0.0311184011949977,0,0.0277015446416203,0.0317001038958199,0,0.0302248631398627,0,0,0,0,0.0690557099486951,0.018631856957719,0.0222106476714357,0,0,0.0286738228466503,0.100517552751582,0,0.0801956242998142,0,0,0,0,0,0,0.018631856957719,0.0355061747519545,0.0128233234119793,0,0,0,0.0280293849837657,0,0,0,0,0,0,0.0241798905118902,0,0.064965880779254,0,0,0,0,0.0176239722996822,0,0.0159934942558079,0,0,0,0,0,0.0217954587689313,0,0,0,0,0.0331096786784184,0,0.0154117166945831,0,0,0,0,0,0,0,0,0,0.00604497262797254,0,0.0120899452559451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955794094888345
"12.07.2006.1b",0,0.0490679482129297,0.0411155343838018,0,0.0320084001064265,0,0.188006781445169,0.0446972982503139,0,0.0623958586287401,0,0,0.073340458181066,0,0,0,0,0.0258059971768677,0.0327988499987689,0.0378728497517987,0,0,0.0364951911980882,0,0,0.0343251850538209,0,0,0.0327988499987689,0,0,0,0,0.0441205347543393,0.0189364248758994,0,0,0,0,0,0,0,0.0258059971768677,0,0,0,0,0.0286291833955925,0,0,0.0247936001101867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0525951683038217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02.08.2006.1b",0.10265213551448,0.192208575072893,0.14890105320737,0.203454089668415,0.482931934127263,0.0855025065869475,0,0.0319526850969478,0.0245971884560722,0.0362060810713382,0.0277287164914204,0,0,0,0.028842760095427,0.0303337623490304,0.0275004927215753,0,0.028842760095427,0.020701618856827,0.222227123964179,0.0240792949082654,0.0622062523221916,0,0.011227029140497,0,0.0367245716318215,0,0.0485495996699596,0,0,0.011227029140497,0.0150626402061134,0,0,0,0,0,0,0.0154753917013748,0,0,0.011227029140497,0,0,0,0,0,0,0,0,0,0,0,0,0.0122985942280361,0,0,0,0.0240792949082654,0,0,0,0.0150626402061134,0,0.0307464855700902,0,0,0,0,0,0,0,0,0,0,0,0.00614929711401805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02.08.2006.2b",0.0815911008794978,0.185931189049039,0.138340236122103,0.101086238524752,0.334611870262446,0.0729134799195807,0.0143120258660905,0.0457191286532751,0,0.0469746924131491,0.0342511410781033,0,0,0,0.0338409329740372,0,0,0.0116191343435943,0.0424453634526375,0.0210298694594607,0.148044746714991,0.0236355328261752,0.0612930935795112,0,0.0143120258660905,0,0.0405953607612097,0,0.0587728467411531,0.00915400250145154,0,0.0152566708357526,0.0211402632335022,0.00647285724377501,0,0,0,0,0.00915400250145154,0.0155588124607929,0.0160013313661568,0,0.00570852351301722,0,0,0,0,0,0,0,0,0,0,0,0,0.0122053366686021,0.0098874527607474,0,0,0.022214048045772,0,0,0,0.0147918911803418,0,0.0205823742333754,0,0.00373710587211952,0,0,0,0,0,0,0,0,0,0.00373710587211952,0,0,0,0,0,0,0.00305133416715051,0.00835642276917288,0,0,0.00373710587211952,0,0,0,0,0
"15.08.2006.2a",0.212591232678304,0.323048304351207,0.275828920758231,0.135165573640896,0.388179082909955,0.0172057353489315,0.0243325842810612,0.0275905571842317,0,0.0205647871336791,0.0183937047894878,0,0.0124525970094446,0.0159294156174079,0.058407857263829,0.011873085387457,0,0,0,0,0.0713373860882509,0,0.0275905571842317,0,0.0377332556485685,0,0.0483746276456596,0,0.0172057353489315,0,0,0,0.011873085387457,0,0,0,0,0,0,0,0,0,0.0135374001788821,0.0273338952598157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145415004358823,0,0.0124525970094446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22.08.2006.1",0.0582124999922528,0,0,0.0397005954811414,0.0212870728012966,0,0.0193476769760569,0.0262594756360687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239029237660269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22.08.2006.2",0.0825394752234021,0.051141243626723,0.0339046053326982,0.0723975115261627,0.0441703975979466,0,0.0141554032192186,0.016874360632042,0,0.0148817872552006,0.0174881730992861,0,0,0,0.0112495737546946,0.0107706468634489,0,0,0,0,0,0.0281239343867366,0,0,0.016874360632042,0.0207939680679977,0.0311486592661345,0,0,0.0189358542816678,0,0.0137778577614037,0,0,0.0141554032192186,0,0,0,0,0,0,0,0,0,0,0,0,0.0133896709701276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064949444355415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918523850760246,0,0,0,0,0.0064949444355415
"05.09.2006.2",0.20660524890268,0.171285666879413,0.0528966893065779,0.062457542382482,0.0528966893065779,0,0.172799266254742,0,0.0234828113826146,0.0183573580989961,0.0417879691183112,0,0.0199565522456617,0,0.0352966204742138,0.0142911838976634,0,0.0448524657225087,0,0,0,0.0314730677787318,0.0287604528067132,0.0365753809090113,0.0786664445431728,0.0255648469393006,0.0351516645415384,0,0.0175030541847773,0.0330556041240069,0.0110699034466476,0.0166048551699714,0,0.0232643618775932,0.0209549890234568,0,0,0.0186334240877681,0.0115219208111296,0,0,0,0.0169095568267051,0.0347131650740943,0,0.0566262802415124,0.0965580749240346,0.0156552075884097,0,0.0311469131967353,0.0127824234696503,0,0.0207098930010117,0,0.0146441057786632,0,0,0,0,0.0139293230394371,0,0.0153255873550203,0,0,0,0,0,0,0,0.0131758205291856,0,0,0,0,0,0,0,0.00639121173482516,0,0,0,0,0.00903853831538782,0,0.00639121173482516,0,0,0,0.0101053930452218,0,0,0,0,0.0055349517233238
"12.09.2006.2b",0.135866390984387,0.116695303750345,0,0.378735742433242,0.122391067113266,0,0.207296177606863,0,0.0673740650334271,0,0,0,0,0,0.0407970223710886,0.0388984345834485,0,0,0,0.0460252484866725,0,0.0301305978670469,0,0,0.119893027419891,0,0,0,0,0,0,0,0.024601530139752,0,0,0,0,0,0,0,0,0,0,0.0727723075465515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
