,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_2,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnohabitans,s__
ASV_4,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_5,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__,s__
ASV_6,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Polynucleobacter,s__
ASV_7,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Microcystaceae,g__Microcystis,s__
ASV_8,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Microcystaceae,g__Microcystis,s__
ASV_9,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__C111,g__,s__
ASV_10,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Dolichospermum,s__
ASV_11,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Dolichospermum,s__
ASV_12,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Pelagibacteraceae,g__,s__
ASV_13,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__Sediminibacterium,s__
ASV_14,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_15,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_16,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Dolichospermum,s__
ASV_17,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
ASV_18,k__Bacteria,p__Cyanobacteria,c__Nostocophycideae,o__Nostocales,f__Nostocaceae,g__Dolichospermum,s__
ASV_19,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__ACK-M1,g__,s__
