Sample_ID	01.06.2008.1	01.06.2008	02.06.2008	02.07.2008	02.08.2007.1	02.08.2007.2	02.08.2006.1b	02.08.2006.2b	02.09.2009.1	02.09.2009.2	03.07.2013.1	03.07.2013.2	03.09.2008.2b	04.08.2008.2b	04.08.2008.4b	05.05.2010.1	05.05.2010.2	05.06.2013.1	05.06.2013.2	05.07.2010.1	05.07.2011.1	05.07.2011.2	05.09.2006.1	05.09.2006.2	05.09.2007.1	05.09.2007.2	06.07.2007.1	06.07.2007.2	07.06.2012.1	07.06.2012.2	07.10.2008.6b	07.10.2008.5b	08.07.2009.1	08.07.2009.2	08.08.2009.2b	08.08.2009.p2	09.05.2007.1	09.05.2007.2	09.08.2011.1	09.08.2011.2	10.08.2010.1	10.08.2010.2	10.10.2006.1	10.10.2007.1	12.06.2011.1	12.07.2010.1	12.07.2010.2	12.07.2006.1b	12.07.2006.2b	12.07.2009.1b	12.07.2009.2b	12.09.2011.1	12.09.2011.2	12.09.2006.1a	12.09.2006.2b	12.10.2011.1	12.10.2011.2	13.06.2006.1c	13.06.2006.2c	14.08.2012.1	14.08.2012.2	15.05.2011.1	15.07.2008.2	15.07.2008	15.08.2006.1a	15.08.2006.2a	15.10.2009.p2	15.10.2009.1	16.06.2010.1	16.06.2010.2	16.08.2013.1	16.08.2013.2	16.09.2009.1	16.09.2009.2	16.09.2010.1	16.09.2010.2	16.10.2006.2b	17.09.2013.1	17.09.2013.2	17.09.2008.1d	17.09.2008.3b	17.09.2012.2	17.10.2012.1	17.10.2012.2	18.08.2008.2d	18.08.2008.4d	19.06.2009.1	19.06.2009.2	19.07.2011.1	19.07.2011.2	19.09.2007.1	19.09.2007.2	19.10.2010.1	19.10.2010.2	20.05.2009.1	20.05.2009.2	20.07.2012.1	20.07.2012.2	21.06.2011.1	21.06.2011.2	22.05.2008.1	22.08.2006.1	22.08.2006.2	22.08.2007.1	22.08.2007.2	22.08.2010.1	22.08.2009.1	22.08.2009.p1	23.08.2011.1	23.08.2011.2	23.09.2009.1	23.09.2009.2	23.10.2013.1	23.10.2013.2	24.04.2012.1	25.06.2008.a	25.06.2008.b	25.07.2006.1	25.07.2009.b	25.07.2009.p2	26.07.2010.1	26.09.2007.1	26.09.2007.2	26.09.2006.1b	27.06.2006.1	27.06.2006.2	27.08.2013.1	27.08.2013.2	27.10.2008.1	27.10.2008.2	28.07.2008.3d	29.07.2009.2d	29.08.2007.2	29.08.2008.1	29.08.2008.2	Mock10	Mock11	Phylum	Class	Order	Family	Genus	Species
ASV_1	1491	4631	1287	415	6639	8874	7178	23835	3683	1028	4308	13374	6084	2790	253	393	606	3815	2515	3941	23279	980	6069	13455	16502	7380	14315	8710	6238	6212	5467	7293	13288	12202	131	9527	392	647	369	177	3064	3645	4573	5566	1135	5575	3308	3267	288	423	16857	4969	5492	6962	550	4686	2541	6947	3763	378	7579	280	1258	8630	1213	3528	9796	11868	3615	4499	3335	4378	3139	2325	4371	8339	4255	1807	2670	21319	9429	1670	11447	1562	132	6948	2128	26201	4056	11488	7699	4348	1777	550	2583	12720	4504	6058	10280	6657	2663	3044	3324	12480	11569	1642	340	4799	4969	4288	3387	4576	3849	4026	290	6326	17120	788	298	1425	3685	5823	5070	2789	5478	4570	1929	2960	2550	2619	4754	275	6934	3756	3368	631	4	p__Bacteria;	c__Actinobacteria;	o__Actinobacteria;	f__Frankiales;	g__Sporichthyaceae;	s__hgcI_clade
ASV_2	1393	3630	795	112	4913	4143	3349	11770	2597	882	1686	3818	3354	2563	480	1566	1227	1349	1279	2971	8640	448	2151	5137	4230	2197	2249	1128	837	1047	2774	4211	10970	2611	54	2851	3304	5853	182	76	2472	2287	6117	2306	702	2613	2110	2083	122	164	5813	2339	2670	5616	436	1714	1155	3927	2615	344	5189	1363	576	3303	630	2016	1291	2415	797	1157	2668	2611	983	599	923	1506	4655	447	1014	8459	3552	1597	3493	491	521	6701	2813	12648	2244	3616	1976	1103	1922	592	2539	3159	5762	3407	2868	1891	2953	3435	2895	3903	2418	1539	440	3316	3338	2949	968	1257	561	673	1167	1382	2040	148	189	842	4140	2531	1845	3136	1840	1844	927	1510	1772	1172	5317	423	3834	2595	2260	0	0	p__Bacteria;	c__Actinobacteria;	o__Actinobacteria;	f__Frankiales;	g__Sporichthyaceae;	s__NA
ASV_3	925	2826	302	23	842	955	248	1088	1077	200	874	2061	707	332	26	2382	1574	1752	1621	888	7889	192	1414	3562	4279	2195	2401	1802	1176	870	741	952	4846	1036	0	1497	4279	5568	25	14	621	767	9358	3240	2072	254	357	706	40	41	1819	1570	1519	3449	281	1591	945	5205	3348	0	348	1745	141	702	205	807	1290	2405	557	561	1498	1084	582	184	1130	1544	2313	235	288	5083	1986	232	2514	281	26	1652	3703	3663	486	686	4181	2009	1702	1256	3254	2780	74	437	4221	5311	4569	1078	2814	1964	1545	148	0	578	415	253	927	1471	517	500	1101	1669	1679	204	197	580	100	3764	2822	934	1935	2323	723	338	1228	1026	452	33	2412	1361	1284	0	0	p__Bacteria;	c__Proteobacteria;	o__Gammaproteobacteria;	f__Betaproteobacteriales;	g__Burkholderiaceae;	s__Limnohabitans
ASV_4	1361	3547	910	53	657	553	709	2853	1525	521	1151	2186	743	323	7	1712	1741	1845	1404	438	8265	555	791	1895	3513	1934	505	349	704	782	589	1016	2594	1207	7	1403	1461	3116	34	24	459	497	2494	2523	1024	147	140	1195	81	48	2345	1015	1149	1298	97	1517	1056	5009	3119	14	1066	1338	214	1681	46	171	1544	2208	437	610	199	431	1207	954	404	861	1697	410	940	2597	1514	250	3384	589	8	888	2729	3695	813	1641	1874	940	1235	344	2616	1605	78	323	5937	4037	3022	336	308	2701	1398	276	70	1229	607	370	1325	1658	642	695	984	1337	2895	86	39	209	107	1798	1406	956	2109	1957	361	503	1398	941	1293	64	861	664	532	571	0	p__Bacteria;	c__Actinobacteria;	o__Actinobacteria;	f__Frankiales;	g__Sporichthyaceae;	s__hgcI_clade
ASV_5	765	1846	616	25	746	1108	867	3035	321	78	1361	3259	770	614	110	430	351	1864	2027	608	4832	166	1662	3144	2661	1048	911	962	2190	1949	695	1100	2523	1629	28	3187	180	296	103	54	579	907	720	786	1154	604	757	567	36	56	2390	1612	1541	1848	171	1470	648	3664	1932	231	2151	409	649	3268	250	747	964	1418	684	729	1433	2281	340	183	735	797	1552	460	543	5830	2087	523	5208	644	139	1829	885	2438	1000	1271	1103	787	1621	683	895	2765	1831	1428	1726	979	959	1062	2423	684	950	564	65	1331	1172	641	720	1124	1311	1131	129	769	2862	76	69	220	471	1530	1227	660	1152	1336	343	474	1916	993	1416	136	2675	1579	1592	1650	1964	p__Bacteria;	c__Proteobacteria;	o__Gammaproteobacteria;	f__Betaproteobacteriales;	g__Methylophilaceae;	s__Candidatus_Methylopumilus
ASV_6	31	91	40	91	1137	1410	702	2616	1520	386	1245	2634	2020	608	102	0	0	209	164	767	12607	517	1084	2294	3132	1221	2839	1707	589	420	1429	2704	3058	1941	54	1809	0	0	177	95	1447	2092	902	1787	43	1130	1893	863	75	66	2477	1412	1469	1846	226	1120	562	387	259	216	2258	0	725	4388	375	958	870	964	235	275	1359	1667	793	265	652	1035	687	434	446	5953	2262	812	1978	292	239	1912	145	2688	1311	1691	1254	756	711	294	142	3580	6165	1203	600	447	59	890	2150	1310	1316	450	145	1574	1396	833	483	754	840	661	0	1888	3199	117	174	760	1325	1736	1241	457	1503	1686	404	355	1099	729	1921	164	2226	1134	1331	0	0	p__Bacteria;	c__Proteobacteria;	o__Gammaproteobacteria;	f__Betaproteobacteriales;	g__Burkholderiaceae;	s__Polynucleobacter
ASV_7	0	0	0	0	0	0	836	1430	59	0	0	0	1713	1111	495	0	0	0	0	92	229	15	4033	4180	51	44	0	0	322	66	222	260	0	16047	111	2316	0	0	55	0	0	195	134	3	0	406	89	0	0	329	9556	124	587	1740	122	35	566	0	0	37	88	0	570	164	1266	3206	0	0	0	0	0	53	0	0	0	0	10	3991	4352	8175	479	106	0	0	754	2583	69	83	116	90	12	6	7	0	0	1520	474	208	103	0	0	172	646	20	18	19	70	118	68	339	0	0	254	827	0	0	0	0	3242	14601	11181	9	0	140	0	0	188	99	0	60	16375	25331	421	245	248	0	0	p__Bacteria;	c__Cyanobacteria;	o__Oxyphotobacteria;	f__Nostocales;	g__Microcystaceae;	s__Microcystis_PCC-7914
ASV_8	0	0	0	0	22	11	2931	7426	119	103	27	86	1302	5721	843	0	4	0	3	0	89	0	2744	2873	0	0	0	3	115	76	633	440	55	2783	295	4259	0	0	787	281	57	213	141	0	0	73	0	47	0	54	978	628	1797	1343	90	132	1660	84	10	0	107	0	60	80	3014	7403	32	35	0	7	489	368	40	55	10	22	0	3234	3442	8418	1089	91	25	0	860	5028	93	0	155	327	0	0	0	0	63	234	3675	757	36	63	0	0	248	0	0	0	137	324	837	3230	28	0	16688	5528	6	0	0	66	3501	13642	1824	0	0	128	76	0	451	236	48	123	3640	8546	439	293	211	0	0	p__Bacteria;	c__Cyanobacteria;	o__Oxyphotobacteria;	f__Nostocales;	g__Microcystaceae;	s__Microcystis_PCC-7914
ASV_9	836	3182	967	12	1026	695	536	1992	3255	622	284	579	2370	414	50	520	851	1188	1286	565	1248	81	458	889	1646	1152	286	140	650	663	1062	2203	1190	792	64	3839	556	1529	0	0	294	429	2404	1358	969	507	618	461	23	20	1113	241	223	1276	100	722	635	2873	1846	53	1024	254	76	456	194	628	3783	4166	328	616	278	710	4391	1058	299	485	2420	105	136	1416	671	160	1458	97	37	1074	2204	2227	279	725	271	166	494	187	995	1257	945	674	1568	1358	1533	2411	4967	508	204	104	170	2409	295	142	591	956	333	420	269	380	808	38	32	247	527	925	618	409	1165	1132	363	290	627	462	1045	42	1958	1210	961	432	0	p__Bacteria;	c__Actinobacteria;	o__Acidimicrobiia;	f__Microtrichales;	g__Ilumatobacteraceae;	s__CL500-29_marine_group
ASV_10	0	0	0	0	0	0	1759	4111	197	86	0	0	214	10655	3604	0	0	0	0	0	518	24	146	274	876	252	0	0	0	0	625	794	0	460	28	908	0	0	7186	7958	621	193	0	41	0	0	0	33	0	0	288	157	728	319	0	0	0	0	0	1451	7530	0	1009	23	2445	5397	51	10	0	0	633	125	1232	1978	0	0	0	2061	860	100	49	527	0	0	508	3566	7	13	109	488	26	243	0	0	6	289	2013	51	61	24	0	0	109	0	37	0	0	17	51	171	748	100	0	0	0	0	0	122	142	19155	0	436	987	0	31	0	1648	300	0	0	7737	6297	79	60	66	0	0	p__Bacteria;	c__Cyanobacteria;	o__Oxyphotobacteria;	f__Nostocales;	g__Nostocaceae;	s__Dolichospermum_NIES41
