	Samples_ID	01.06.08.1	01.06.2008	02.06.2008	02.07.2008	02.08.07.1	02.08.07.2	02.08.2006.1b	02.08.2006.2b	02.09.09.1	02.09.2009.2	03.07.13.1	03.07.13.2	03.09.08.2b	04.08.2008.2b	04.08.2008.4b	05.05.10.1	05.05.10.2	05.06.13.1	05.06.13.2	05.07.10.1	05.07.2011.1	05.07.2011.2	05.09.06.1	05.09.06.2	05.09.07.1	05.09.07.2	06.07.07.1	06.07.07.2	07.06.2012.1	07.06.2012.2	07.10.08.6b	07.10.2008.5b	08.07.2009.1	08.07.2009.2	08.08.2009.2b	08.08.2009.p2	09.05.07.1	09.05.07.2	09.08.11.1	09.08.11.2	10.08.10.1	10.08.10.2	10.10.06.1	10.10.07.1	12.06.11.1	12.07.10.1	12.07.10.2	12.07.2006.1b	12.07.2006.2b	12.07.2009.1b	12.07.2009.2b	12.09.11.1	12.09.11.2	12.09.2006.1a	12.09.2006.2b	12.10.11.1	12.10.11.2	13.06.2006.1c	13.06.2006.2c	14.08.2012.1	14.08.2012.2	15.05.2011.1	15.07.2008.2	15.07.2008	15.08.2006.1a	15.08.2006.2a	15.10.09.p2	15.10.2009.1	16.06.10.1	16.06.10.2	16.08.13.1	16.08.13.2	16.09.09.1	16.09.09.2	16.09.10.1	16.09.10.2	16.10.2006.2b	17.09.13.1	17.09.13.2	17.09.2008.1d	17.09.2008.3b	17.09.2012.2	17.10.2012.1	17.10.2012.2	18.08.2008.2d	18.08.2008.4d	19.06.2009.1	19.06.2009.2	19.07.11.1	19.07.11.2	19.09.07.1	19.09.07.2	19.10.10.1	19.10.10.2	20.05.2009.1	20.05.2009.2	20.07.2012.1	20.07.2012.2	21.06.2011.1	21.06.2011.2	22.05.08.1	22.08.06.1	22.08.06.2	22.08.07.1	22.08.07.2	22.08.10.1	22.08.2009.1	22.08.2009.p1	23.08.11.1	23.08.11.2	23.09.2009.1	23.09.2009.2	23.10.13.1	23.10.13.2	24.04.12.1	25.06.2008.a	25.06.2008.b	25.07.06.1	25.07.2009.b	25.07.2009.p2	26.07.10.1	26.09.07.1	26.09.07.2	26.09.2006.1b	27.06.06.1	27.06.06.2	27.08.13.1	27.08.13.2	27.10.08.1	27.10.08.2	28.07.2008.3d	29.07.2009.2d	29.08.07.2	29.08.08.1	29.08.08.2
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Microcystaceae; s__Microcystis_PCC-7914	ASV_7	0	0	0	0	0	0	836	1430	59	0	0	0	1713	1111	495	0	0	0	0	92	229	15	4033	4180	51	44	0	0	322	66	222	260	0	16047	111	2316	0	0	55	0	0	195	134	3	0	406	89	0	0	329	9556	124	587	1740	122	35	566	0	0	37	88	0	570	164	1266	3206	0	0	0	0	0	53	0	0	0	0	10	3991	4352	8175	479	106	0	0	754	2583	69	83	116	90	12	6	7	0	0	1520	474	208	103	0	0	172	646	20	18	19	70	118	68	339	0	0	254	827	0	0	0	0	3242	14601	11181	9	0	140	0	0	188	99	0	60	16375	25331	421	245	248
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Microcystaceae; s__Microcystis_PCC-7914	ASV_8	0	0	0	0	22	11	2931	7426	119	103	27	86	1302	5721	843	0	4	0	3	0	89	0	2744	2873	0	0	0	3	115	76	633	440	55	2783	295	4259	0	0	787	281	57	213	141	0	0	73	0	47	0	54	978	628	1797	1343	90	132	1660	84	10	0	107	0	60	80	3014	7403	32	35	0	7	489	368	40	55	10	22	0	3234	3442	8418	1089	91	25	0	860	5028	93	0	155	327	0	0	0	0	63	234	3675	757	36	63	0	0	248	0	0	0	137	324	837	3230	28	0	16688	5528	6	0	0	66	3501	13642	1824	0	0	128	76	0	451	236	48	123	3640	8546	439	293	211
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Nostocaceae; s__Dolichospermum_NIES41	ASV_10	0	0	0	0	0	0	1759	4111	197	86	0	0	214	10655	3604	0	0	0	0	0	518	24	146	274	876	252	0	0	0	0	625	794	0	460	28	908	0	0	7186	7958	621	193	0	41	0	0	0	33	0	0	288	157	728	319	0	0	0	0	0	1451	7530	0	1009	23	2445	5397	51	10	0	0	633	125	1232	1978	0	0	0	2061	860	100	49	527	0	0	508	3566	7	13	109	488	26	243	0	0	6	289	2013	51	61	24	0	0	109	0	37	0	0	17	51	171	748	100	0	0	0	0	0	122	142	19155	0	436	987	0	31	0	1648	300	0	0	7737	6297	79	60	66
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Nostocaceae; s__Aphanizomenon_MDT14a	ASV_11	0	0	0	0	7	0	3284	2195	31	39	152	104	224	2166	988	0	0	0	0	0	5933	476	301	382	0	0	0	0	0	0	168	220	0	4918	48	420	10	12	735	2790	257	846	10845	0	0	0	0	0	0	37	3987	229	1151	16425	948	13	97	0	0	52	918	0	0	0	759	1296	30	0	0	0	4551	1152	0	534	164	324	126	783	776	794	68	0	144	39	187	1670	0	0	556	4024	0	0	45	26	0	188	6792	1780	694	261	0	80	497	0	0	51	54	0	111	1286	852	18	35	0	0	0	0	34	41	8641	386	0	0	1118	0	0	1518	2504	7	0	3323	796	135	73	64
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Nostocaceae; s__Dolichospermum_NIES41	ASV_16	0	0	0	0	0	0	18503	24051	865	105	0	0	127	1185	517	0	0	0	0	0	92	0	122	274	453	197	0	0	0	0	293	369	0	0	120	376	0	0	0	0	153	18	21	0	0	0	0	20	0	0	15	122	869	2914	99	0	0	0	0	66	746	0	1008	48	4879	10689	0	0	0	0	0	0	2884	2116	0	12	0	131	77	1883	119	168	0	0	229	643	0	0	33	209	16	63	0	16	0	19	224	0	0	11	0	23	185	0	35	50	15	79	8	48	1097	143	0	0	0	0	0	681	55	2046	10	398	116	60	0	0	0	0	0	15	909	3129	78	48	63
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Nostocales; g__Nostocaceae; s__Dolichospermum_NIES41	ASV_18	0	0	0	0	0	0	580	1142	31	25	0	0	0	64	14	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16056	18211	95	24	0	0	0	0	0	0	0	0	0	299	846	11	0	0	18	0	0	2866	14529	0	0	0	14	21	0	0	0	2	1031	99	0	20	25	39	0	3986	2344	76	0	892	4	0	181	564	0	0	162	572	0	0	19	0	0	0	757	0	16	0	0	0	0	0	0	0	7	0	122	324	0	0	0	0	0	0	0	0	0	18	0	0	0	12	0	0	3898	419	0	0	16	19	0	0	0
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Chloroplast; g__NA; s__NA	ASV_20	0	0	0	0	42	176	0	44	191	465	2604	7153	14	90	0	0	11	0	30	0	935	23	245	2924	37	85	144	117	0	0	37	39	28	3250	0	97	0	0	0	0	734	5827	486	34	17	16	12	690	23	164	12369	683	823	2913	284	309	214	8	0	96	3365	0	11	12	7	42	32	15	0	0	67	740	46	70	203	2957	0	14	14	700	923	2401	22	0	0	688	170	62	38	333	19	16	9	14	112	710	0	24	954	2450	0	19	19	0	0	216	38	1383	65	30	38	68	28	28	11	10	8	0	19	7	266	28	17	1007	1475	1661	7	38	12	16	377	0	108	85	51
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Chloroplast; g__NA; s__NA	ASV_27	3713	12036	335	0	25	152	81	449	0	0	32	28	57	65	9	16	56	386	165	0	202	0	0	0	0	0	1607	729	377	102	74	126	4023	812	0	172	297	198	0	0	28	0	142	0	38	60	0	39	0	0	178	0	0	0	0	0	0	5291	2109	0	0	119	0	49	41	54	0	0	39	72	0	0	0	0	0	0	0	0	0	0	93	0	0	0	43	160	519	6227	0	0	0	0	0	0	874	1401	51	0	129	312	64	35	27	0	0	0	0	0	0	0	0	0	0	0	97	1737	1816	0	0	18	0	0	0	149	153	53	0	0	0	635	64	0	40	0	19
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Chloroplast; g__NA; s__NA	ASV_37	1850	4621	74	0	0	34	48	0	0	0	0	0	30	63	0	0	0	95	75	0	0	0	0	54	274	117	340	288	1097	61	100	161	718	278	0	121	295	241	0	0	0	0	225	59	0	0	0	0	0	0	70	236	137	100	30	349	151	4711	2220	0	17	107	0	0	0	0	3116	1252	0	42	0	60	410	59	0	43	79	14	0	163	280	0	673	96	0	211	94	1519	0	0	1520	479	128	65	190	383	0	0	0	110	0	0	0	291	78	0	0	50	20	46	493	291	78	81	166	755	2096	0	0	0	0	0	50	245	73	0	0	0	195	1487	0	0	40	34	0
p__Bacteria; c__Cyanobacteria; o__Oxyphotobacteria; f__Chloroplast; g__NA; s__NA	ASV_41	2174	8376	0	0	0	28	104	474	39	26	15	59	25	64	0	38	223	144	0	0	95	18	0	33	51	0	41	0	275	49	203	237	108	385	0	22	84	112	0	0	0	17	267	124	0	0	0	76	0	3	113	212	233	70	0	197	99	1979	627	0	40	19	0	24	11	30	1170	883	27	0	0	39	10	0	14	0	91	13	10	45	61	32	741	68	4	454	1359	458	0	0	110	80	73	62	3521	3031	30	8	39	173	7	0	21	124	642	0	0	0	8	43	125	150	227	144	349	54	218	0	0	38	19	92	186	350	71	42	0	4	688	872	54	0	29	0	0
