"","10.10.2006.1","16.10.2006.2b","13.06.2006.1c","13.06.2006.2c","27.06.2006.1","27.06.2006.2","12.07.2006.1b","25.07.2006.1","02.08.2006.1b","02.08.2006.2b","15.08.2006.2a","22.08.2006.1","22.08.2006.2","05.09.2006.2","12.09.2006.2b","26.09.2006.1b","10.10.2007.1","09.05.2007.1","09.05.2007.2","06.07.2007.1","06.07.2007.2","02.08.2007.1","02.08.2007.2","22.08.2007.1","22.08.2007.2","05.09.2007.1","05.09.2007.2","19.09.2007.1","19.09.2007.2","26.09.2007.2","07.10.2008.5b","07.10.2008.6b","27.10.2008.1","27.10.2008.2","22.05.2008.1","01.06.2008.1","25.06.2008.a","25.06.2008.b","15.07.2008.2","04.08.2008.4b","04.08.2008.2b","18.08.2008.4d","29.08.2008.1","03.09.2008.2b","17.09.2008.1d","17.09.2008.3b","15.10.2009.1","15.10.2009.p2","20.05.2009.1","20.05.2009.2","08.07.2009.1","08.07.2009.2","12.07.2009.2b","25.07.2009.b","25.07.2009.p2","08.08.2009.p2","22.08.2009.1","22.08.2009.p1","02.09.2009.1","02.09.2009.2","16.09.2009.1","16.09.2009.2","23.09.2009.1","23.09.2009.2","19.10.2010.1","19.10.2010.2","05.05.2010.1","05.05.2010.2","16.06.2010.1","16.06.2010.2","05.07.2010.1","12.07.2010.1","12.07.2010.2","26.07.2010.1","10.08.2010.1","10.08.2010.2","22.08.2010.1","16.09.2010.1","16.09.2010.2","12.10.2011.1","12.10.2011.2","15.05.2011.1","21.06.2011.1","05.07.2011.1","05.07.2011.2","19.07.2011.1","19.07.2011.2","09.08.2011.1","09.08.2011.2","23.08.2011.1","23.08.2011.2","12.09.2011.1","12.09.2011.2","17.10.2012.1","17.10.2012.2","24.04.2012.1","07.06.2012.1","07.06.2012.2","20.07.2012.1","20.07.2012.2","14.08.2012.1","14.08.2012.2","17.09.2012.2","23.10.2013.1","23.10.2013.2","05.06.2013.1","05.06.2013.2","03.07.2013.1","03.07.2013.2","16.08.2013.1","27.08.2013.1","17.09.2013.1","17.09.2013.2"
"ASV_1",4573,4255,6947,3763,5478,4570,3267,788,7178,23835,3528,3044,3324,13455,550,2789,5566,392,647,14315,8710,6639,8874,12480,11569,16502,7380,7699,4348,5070,7293,5467,2550,2619,2663,1491,6326,17120,1258,253,2790,6948,3756,6084,21319,9429,11868,9796,2583,12720,13288,12202,16857,298,1425,9527,340,4799,3683,1028,3139,2325,3387,4576,1777,550,393,606,3615,4499,3941,5575,3308,3685,3064,3645,1642,4371,8339,4686,2541,280,10280,23279,980,4056,11488,369,177,4969,4288,4969,5492,11447,1562,290,6238,6212,4504,6058,378,7579,1670,3849,4026,3815,2515,4308,13374,3335,1929,1807,2670
"ASV_2",6117,4655,3927,2615,1840,1844,2083,148,3349,11770,2016,3435,2895,5137,436,3136,2306,3304,5853,2249,1128,4913,4143,3903,2418,4230,2197,1976,1103,1845,4211,2774,1772,1172,2953,1393,1382,2040,576,480,2563,6701,2595,3354,8459,3552,2415,1291,2539,3159,10970,2611,5813,189,842,2851,440,3316,2597,882,983,599,968,1257,1922,592,1566,1227,797,1157,2971,2613,2110,4140,2472,2287,1539,923,1506,1714,1155,1363,2868,8640,448,2244,3616,182,76,3338,2949,2339,2670,3493,491,1167,837,1047,5762,3407,344,5189,1597,561,673,1349,1279,1686,3818,2668,927,447,1014
"ASV_3",9358,2313,5205,3348,1935,2323,706,204,248,1088,807,1078,2814,3562,281,934,3240,4279,5568,2401,1802,842,955,1964,1545,4279,2195,4181,2009,2822,952,741,1228,1026,4569,925,1669,1679,141,26,332,1652,1361,707,5083,1986,2405,1290,3254,2780,4846,1036,1819,197,580,1497,0,578,1077,200,582,184,927,1471,1702,1256,2382,1574,557,561,888,254,357,100,621,767,148,1130,1544,1591,945,1745,4221,7889,192,486,686,25,14,415,253,1570,1519,2514,281,1101,1176,870,74,437,0,348,232,517,500,1752,1621,874,2061,1498,723,235,288
"ASV_4",2494,1697,5009,3119,2109,1957,1195,86,709,2853,171,336,308,1895,97,956,2523,1461,3116,505,349,657,553,2701,1398,3513,1934,1874,940,1406,1016,589,1398,941,3022,1361,1337,2895,214,7,323,888,664,743,2597,1514,2208,1544,2616,1605,2594,1207,2345,39,209,1403,70,1229,1525,521,1207,954,1325,1658,1235,344,1712,1741,437,610,438,147,140,107,459,497,276,404,861,1517,1056,1338,5937,8265,555,813,1641,34,24,607,370,1015,1149,3384,589,984,704,782,78,323,14,1066,250,642,695,1845,1404,1151,2186,199,361,410,940
"ASV_5",720,1552,3664,1932,1152,1336,567,76,867,3035,747,1062,2423,3144,171,660,786,180,296,911,962,746,1108,684,950,2661,1048,1103,787,1227,1100,695,1916,993,959,765,769,2862,649,110,614,1829,1579,770,5830,2087,1418,964,895,2765,2523,1629,2390,69,220,3187,65,1331,321,78,340,183,720,1124,1621,683,430,351,684,729,608,604,757,471,579,907,564,735,797,1470,648,409,1726,4832,166,1000,1271,103,54,1172,641,1612,1541,5208,644,129,2190,1949,1831,1428,231,2151,523,1311,1131,1864,2027,1361,3259,1433,343,460,543
"ASV_6",902,687,387,259,1503,1686,863,117,702,2616,958,890,2150,2294,226,457,1787,0,0,2839,1707,1137,1410,1310,1316,3132,1221,1254,756,1241,2704,1429,1099,729,59,31,1888,3199,725,102,608,1912,1134,2020,5953,2262,964,870,142,3580,3058,1941,2477,174,760,1809,145,1574,1520,386,793,265,483,754,711,294,0,0,235,275,767,1130,1893,1325,1447,2092,450,652,1035,1120,562,0,600,12607,517,1311,1691,177,95,1396,833,1412,1469,1978,292,0,589,420,6165,1203,216,2258,812,840,661,209,164,1245,2634,1359,404,434,446
"ASV_7",134,10,0,0,0,0,0,0,836,1430,3206,172,646,4180,122,140,3,0,0,0,0,0,0,20,18,51,44,12,6,0,260,222,0,60,0,0,0,0,570,495,1111,2583,245,1713,8175,479,0,0,0,1520,0,16047,9556,3242,14601,2316,70,118,59,0,0,0,0,0,7,0,0,0,0,0,92,406,89,11181,0,195,19,0,0,35,566,0,103,229,15,116,90,55,0,68,339,124,587,0,0,0,322,66,474,208,37,88,106,254,827,0,0,0,0,0,188,3991,4352
"ASV_8",141,0,84,10,76,0,47,66,2931,7426,7403,0,248,2873,90,128,0,0,0,0,3,22,11,0,0,0,0,0,0,0,440,633,48,123,0,0,0,0,60,843,5721,5028,293,1302,8418,1089,35,32,63,234,55,2783,978,3501,13642,4259,137,324,119,103,40,55,28,0,0,0,0,4,0,7,0,73,0,1824,57,213,0,10,22,132,1660,0,36,89,0,155,327,787,281,837,3230,628,1797,25,0,6,115,76,3675,757,0,107,91,16688,5528,0,3,27,86,489,451,3234,3442
"ASV_9",2404,2420,2873,1846,1165,1132,461,38,536,1992,628,2411,4967,889,100,409,1358,556,1529,286,140,1026,695,508,204,1646,1152,271,166,618,2203,1062,627,462,1533,836,380,808,76,50,414,1074,1210,2370,1416,671,4166,3783,995,1257,1190,792,1113,32,247,3839,170,2409,3255,622,4391,1058,591,956,494,187,520,851,328,616,565,507,618,527,294,429,104,299,485,722,635,254,1568,1248,81,279,725,0,0,295,142,241,223,1458,97,269,650,663,945,674,53,1024,160,333,420,1188,1286,284,579,278,363,105,136
"ASV_10",0,0,0,0,31,0,33,122,1759,4111,5397,0,109,274,0,0,41,0,0,0,0,0,0,0,37,876,252,26,243,987,794,625,0,0,0,0,0,0,1009,3604,10655,3566,60,214,100,49,10,51,6,289,0,460,288,142,19155,908,0,17,197,86,1232,1978,748,100,0,0,0,0,0,0,0,0,0,0,621,193,0,0,0,0,0,0,61,518,24,109,488,7186,7958,51,171,157,728,0,0,0,0,0,2013,51,1451,7530,527,0,0,0,0,0,0,633,1648,2061,860
