"","description","sampleID","Date","Years","Month","Day","month.numeric","week","Period","Mean_temp_t0_t7","Cumul_precip_t1_t7_mm","Site","Bloom","Tot.P_ug","Tot.N_mg","Dissolved.P","Dissolved.N","Microcystin","P_range","N_range","Temp.water","profondeur_secchi_cm","microcystin_ug_L","micro.sum","doli.sum","cyano.sum","micro.relab.sum","doli.relab.sum","cyano.relab.sum","micro.helli.sum","doli.helli.sum","cyano.helli.sum"
"10.10.2006.1","10.10.2006.1","FLD0214_10_10_2006_1","2006-10-10",2006,"October",10,10,41,"Fall",10.1625,17.6,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Mesotrophic",15.06,NA,NA,275,10866,13212,0.00217145835142882,0.0858002416240929,0.104324755414828,0.065895471074622,0.305510724599883,0.940015403247092
"16.10.2006.2b","16.10.2006.2b","FLD0216_16_10_2006_2b","2006-10-16",2006,"October",16,10,42,"Fall",8.9,15.6,"Littoral","no",96.830787,773.2315,42.0521255,0.542282,0,"Mesotrophic","Mesotrophic",22,NA,0.0023,10,126,452,0.000193128488383321,0.00243341895362985,0.00872940767492613,0.013897067618146,0.049329696468049,0.240295313778556
"13.06.2006.1c","13.06.2006.1c","FLD0195_13_06_2006_1c","2006-6-13",2006,"June",13,6,24,"Spring",14.8,83.8,"Pelagic","no",51.958527,1413.005,34.5288295,1.2993945,0.0033,"Mesotrophic","Eutrophic",22.9,NA,0.0012,84,74,23599,0.000676797138114959,0.00059622605024413,0.190139710266368,0.0260153250626426,0.0244177404819555,1.99019138735529
"13.06.2006.2c","13.06.2006.2c","FLD0196_13_06_2006_2c","2006-6-13",2006,"June",13,6,24,"Spring",14.8,83.8,"Littoral","no",58.42204,1597.079,37.796898,1.4146905,0.0012,"Mesotrophic","Mesotrophic",22.5,NA,0,10,0,12204,0.000134280458164923,0,0.163875871144472,0.011587944518547,0,1.99138097357339
"27.06.2006.1","27.06.2006.1","FLD0197_27_06_2006_1","2006-6-27",2006,"June",27,6,26,"Summer",19.275,28,"Pelagic","no",32.4227405,1021.058,11.3618565,0.9155875,NA,"Mesotrophic","Mesotrophic",22.6,NA,0,76,145,3955,0.00148024073388777,0.00282414350544378,0.0770309487174493,0.038473896785844,0.0886680848078165,1.38088719463144
"27.06.2006.2","27.06.2006.2","FLD0198_27_06_2006_2","2006-6-27",2006,"June",27,6,26,"Summer",19.275,28,"Littoral","no",39.6124915,1133.5565,13.75844,1.025423,NA,"Mesotrophic","Mesotrophic",24.7,NA,0.138,0,105,3748,0,0.0019184389388292,0.0684791346926844,0,0.0617835015250688,1.03458847418324
"12.07.2006.1b","12.07.2006.1b","FLD0199_12_07_2006_1b","2006-7-12",2006,"July",12,7,28,"Summer",20.6625,7.8,"Pelagic","no",76.1119705,890.2395,23.3830935,0.7574795,0.138,"Mesotrophic","Mesotrophic",25.8,NA,0.16,47,133,1364,0.00240766354182675,0.00681317555453102,0.0698734695968444,0.0490679482129297,0.162214293992138,1.03853801575151
"25.07.2006.1","25.07.2006.1","FLD0201_25_07_2006_1","2006-7-25",2006,"July",25,7,30,"Summer",20.9125,19,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Mesotrophic",26.9,NA,0.477,66,976,1067,0.00250902870176772,0.03710321231705,0.0405626306785782,0.0500902056470896,0.353749885566045,0.444426133994482
"02.08.2006.1b","02.08.2006.1b","FLD0202_02_08_2006_1b","2006-8-02",2006,"August",2,8,31,"Summer",23.425,89,"Pelagic","yes",80.09251,960.016,45.5060465,0.636552,0.477,"Eutrophic","Eutrophic",27.8,NA,1.88,3960,28764,33705,0.0499142885953413,0.362559241706161,0.424838660885348,0.364509394607617,1.39262098237626,2.24805395882055
"02.08.2006.2b","02.08.2006.2b","FLD0203_02_08_2006_2b","2006-8-02",2006,"August",2,8,31,"Summer",23.425,89,"Littoral","yes",121.2247495,1425.8495,28.699325,0.556977,1.88,NA,NA,NA,NA,0,9210,37589,51363,0.0428754981192507,0.17498882723176,0.239111206286544,0.308117650689747,1.00827402579244,2.06693999056688
"15.08.2006.2a","15.08.2006.2a","FLD0205_15_08_2006_2a","2006-8-15",2006,"August",15,8,33,"Summer",16.6,2.8,"Littoral","yes",163.5069225,1455.846,32.149126,0.5180285,4.28,"Eutrophic","Mesotrophic",22.1,NA,0,10775,17882,29315,0.151895343755727,0.252082834064029,0.41325401412521,0.58401416467517,0.955093748199756,1.89344817942509
"22.08.2006.1","22.08.2006.1","FLD0206_22_08_2006_1","2006-8-22",2006,"August",22,8,34,"Summer",19.5375,20.8,"Pelagic","no",97.0761445,973.1345,34.095167,0.6318595,NA,"Eutrophic","Mesotrophic",22.9,NA,0,172,103,366,0.00338869515534803,0.00202927675000493,0.0072108280631243,0.0582124999922528,0.060987668282438,0.201264675271383
"22.08.2006.2","22.08.2006.2","FLD0207_22_08_2006_2","2006-8-22",2006,"August",22,8,34,"Summer",19.5375,20.8,"Littoral","no",97.2530575,843.246,40.9947685,-0.0495495,NA,"Mesotrophic","Mesotrophic",20.3,NA,0,986,791,2170,0.0103984307439202,0.00834194596190757,0.0228849844972686,0.16482937811626,0.150472514456807,0.576993138230424
"05.09.2006.2","05.09.2006.2","FLD0209_05_09_2006_2","2006-9-05",2006,"September",5,9,36,"Summer",15.625,16.2,"Littoral","no",69.370499,736.7605,23.3904825,0.4477295,NA,"Mesotrophic","Mesotrophic",18.9,NA,2.74,7174,1152,14915,0.0732601480725045,0.0117641051825377,0.152310441664539,0.413042580323631,0.247050126231466,1.83965969294452
"12.09.2006.2b","12.09.2006.2b","FLD0211_12_09_2006_2b","2006-9-12",2006,"September",12,9,37,"Summer",14.55,4.4,"Littoral","yes",54.540525,610.5105,14.520881,0.303932,2.36,NA,NA,NA,NA,0,212,1251,1919,0.0320774701165078,0.189287335451657,0.290361628082917,0.252561694734733,0.733809063001448,1.57878277003375
"26.09.2006.1b","26.09.2006.1b","FLD0204_26_09_2006_1b","2006-9-26",2006,"September",26,9,39,"Fall",13.05,18.2,"Pelagic","no",NA,NA,NA,NA,0,"Eutrophic","Eutrophic",22.2,NA,4.28,268,1346,4312,0.00828413341164106,0.0416061327316003,0.133287997279837,0.12868550121741,0.345427357593928,1.66307418863146
"10.10.2007.1","10.10.2007.1","FLD0231_10_10_2007_1","2007-10-10",2007,"October",10,10,41,"Fall",13.2,30.2,"Littoral","no",59.2,471.1,25.39,0.3128,NA,NA,NA,NA,NA,NA,3,127,9968,5.15490489200474e-05,0.00218224307094867,0.171280306545011,0.00717976663409386,0.0649838641645493,1.44952800510766
"09.05.2007.1","09.05.2007.1","FLD0217_09_05_2007_1","2007-5-09",2007,"May",9,5,19,"Spring",11.425,0,"Littoral","no",77.135,767.25,29.665,0.59905,NA,"Mesotrophic","Mesotrophic",20.96,NA,NA,0,10,1810,0,0.000180264628474601,0.0326278977539027,0,0.0134262663639078,0.89285980842894
