,description,Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Total_Nitrogen_mg,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Mean_temperature_t0_t7,Microcystin,Dolicho.Abundance,Micro.Abundance,Cyano.Abundance,cyano.sum.helli,micro.sum.helli,doli.sum.helli
FLD0234_01_06_2008,01.06.2008,2008-6-01,June,2008,Pelagic,Spring,no,NA,NA,NA,NA,6.075,13.425,NA,31304,888,32824,25.33942192,0,0
FLD0233_01_06_2008_1,01.06.2008.1,2008-6-01,June,2008,Littoral,Spring,no,NA,NA,NA,NA,6.075,13.425,NA,12,0,1975,6.805865519,0,0
FLD0366_01_08_2016,01.08.2016,2016-8-01,August,2016,Littoral,Summer,NA,NA,NA,NA,NA,0.1375,20.675,NA,NA,NA,NA,NA,NA,NA
FLD0238_02_07_2008,02.07.2008,2008-7-02,July,2008,Pelagic,Summer,no,23.258,850,NA,NA,2.725,20.425,NA,1290,100,8282,0.291827082,0,0
FLD0202_02_08_2006_1b,02.08.2006.1b,2006-8-02,August,2006,Pelagic,Summer,yes,80.09251,960.016,45.5060465,0.636552,11.125,23.425,0.477,1124,202,8000,8.628841011,1.331916575,4.105790126
FLD0203_02_08_2006_2b,02.08.2006.2b,2006-8-02,August,2006,Littoral,Summer,yes,121.2247495,1425.8495,28.699325,0.556977,11.125,23.425,1.88,265,103,2425,18.66077396,0.5329079,6.421438572
FLD0221_02_08_2007_1,02.08.2007.1,2007-8-02,August,2007,Littoral,Summer,no,46.655,580.8,21.805,0.35985,0.35,22.25,NA,2088,51,12038,5.951757556,0.012495563,0.007948569
FLD0222_02_08_2007_2,02.08.2007.2,2007-8-02,August,2007,Pelagic,Summer,no,43.88,577.3,18.34,0.4217,0.35,22.25,NA,896,44,4674,8.824678385,0.008835698,0
FLD0269_02_09_2009_1,02.09.2009.1,2009-9-02,September,2009,Littoral,Summer,no,58.47,NA,NA,NA,2.375,14.475,NA,NA,NA,NA,9.849531938,0.102467264,0.178672192
FLD0270_02_09_2009_2,02.09.2009.2,2009-9-02,September,2009,Pelagic,Summer,no,58.68,NA,NA,NA,2.375,14.475,0.135,10,35,4558,5.215827244,0.027037287,0.538207331
FLD0325_03_07_2013_1,03.07.2013.1,2013-7-03,July,2013,Littoral,Summer,no,30.088,971,19.038,0.9,NA,NA,NA,0,20,2663,2.326806858,0.013842878,0.03703921
FLD0326_03_07_2013_2,03.07.2013.2,2013-7-03,July,2013,Pelagic,Summer,no,29.595,1051,19.53,1.025,NA,NA,NA,148,18,2897,3.844089868,0.077201325,0.461188714
FLD0248_03_09_2008_2b,03.09.2008.2b,2008-9-03,September,2008,Littoral,Summer,no,47.64,560,17.28,0.38,0.025,18.7875,NA,0,804,4403,6.900219051,0.202713531,0.469451404
FLD0357_03_09_2015_2,03.09.2015.2,2015-9-03,September,2015,Pelagic,Summer,NA,NA,NA,NA,NA,0,19.1875,NA,NA,NA,NA,NA,NA,NA
FLD0370_03_09_2016,03.09.2016,2016-9-03,September,2016,Littoral,Summer,NA,NA,NA,NA,NA,4.925,18.15,NA,NA,NA,NA,NA,NA,NA
FLD0242_04_08_2008_2b,04.08.2008.2b,2008-8-04,August,2008,Littoral,Summer,yes,190.69,1130,146.77,0.5,NA,20.225,6390,127,3,9968,4.361495129,0.287339911,2.457847887
FLD0241_04_08_2008_4b,04.08.2008.4b,2008-8-04,August,2008,Pelagic,Summer,yes,110.507,1670,47.295,0.654,NA,20.225,NA,10866,275,13212,1.616575501,0.134645347,1.270499424
FLD0347_04_08_2015_1,04.08.2015.1,2015-8-04,August,2015,Littoral,Summer,NA,105.2887,1329.550599,15,514,2.625,21.1875,NA,36271,30520,69869,NA,NA,NA
FLD0277_05_05_2010_1,05.05.2010.1,2010-5-05,May,2010,Littoral,Spring,no,NA,836,NA,0.59,5.275,12.45,NA,1419,421,3783,2.808218875,0,0
FLD0278_05_05_2010_2,05.05.2010.2,2010-5-05,May,2010,Pelagic,Spring,no,NA,742,NA,0.596,5.275,12.45,NA,4183,58,14776,9.025225762,0.005328126,0
FLD0323_05_06_2013_1,05.06.2013.1,2013-6-05,June,2013,Littoral,Spring,no,48.897,1996,30.864,1.942,NA,18.7375,NA,103,172,366,5.841669939,0,0
FLD0324_05_06_2013_2,05.06.2013.2,2013-6-05,June,2013,Pelagic,Spring,no,45.035,1506,31.663,1.504,NA,18.7375,NA,791,986,2170,3.536079349,0.004614293,0
FLD0281_05_07_2010_1,05.07.2010.1,2010-7-05,July,2010,Littoral,Summer,no,NA,447,NA,0.382,2.275,19.575,NA,468,22,4410,3.919231232,0.024700936,0.5
FLD0299_05_07_2011_1,05.07.2011.1,2011-7-05,July,2011,Littoral,Summer,no,16.954,583,16.621,0.449,4.975,20.1375,0.17,8702,7611,24169,12.37689004,0.064103333,5.847521734
FLD0300_05_07_2011_2,05.07.2011.2,2011-7-05,July,2011,Pelagic,Summer,no,31.697,600,15.825,0.46,4.975,20.1375,0.374,NA,NA,NA,0.544748452,0.009973903,0.429688942
FLD0208_05_09_2006_1,05.09.2006.1,2006-9-05,September,2006,Pelagic,Summer,no,46.806232,733.574,20.0555125,0.4684645,2.025,15.625,NA,NA,NA,NA,3.509897324,0.303095776,0.289354344
FLD0209_05_09_2006_2,05.09.2006.2,2006-9-05,September,2006,Littoral,Summer,no,69.370499,736.7605,23.3904825,0.4477295,2.025,15.625,NA,17813,6832,25316,9.68269571,0.42969973,0.66765077
FLD0225_05_09_2007_1,05.09.2007.1,2007-9-05,September,2007,Littoral,Summer,no,55.12,490,29.305,0.3454,1.15,16.0375,NA,0,437,4651,25.39549946,0.018390968,0.498741994
FLD0226_05_09_2007_2,05.09.2007.2,2007-9-05,September,2007,Pelagic,Summer,no,50.885,472.85,23.13,0.31455,1.15,16.0375,NA,0,142,1291,13.18414086,0.01708228,0.30945159
FLD0219_06_07_2007_1,06.07.2007.1,2007-7-06,July,2007,Littoral,Summer,no,63.375,1025.3,32.355,0.4888,NA,16.15,NA,619,6777,9219,3.372527459,0,0
FLD0220_06_07_2007_2,06.07.2007.2,2007-7-06,July,2007,Pelagic,Summer,no,36.52,601.15,17.44,0.4489,NA,16.15,NA,1152,7174,14915,6.296342002,0.004614293,0
FLD0312_07_06_2012_1,07.06.2012.1,2012-6-07,June,2012,Littoral,Spring,no,49.33,892,34.315,0.727,1.8,14.0375,NA,6,63,8150,7.992474482,0.074780113,0
FLD0313_07_06_2012_2,07.06.2012.2,2012-6-07,June,2012,Pelagic,Spring,no,42.554,644,28.8,0.586,1.8,14.0375,NA,570,1754,18386,6.302403301,0.044146198,0
FLD0251_07_10_2008_5b,07.10.2008.5b,2008-10-07,October,2008,Pelagic,Fall,no,NA,440,NA,0.32,1.925,8.65,0.3,23403,3123,31072,11.46732981,0.097406526,1.074237376
FLD0252_07_10_2008_6b,07.10.2008.6b,2008-10-07,October,2008,Pelagic,Fall,no,NA,440,NA,0.32,1.925,8.65,NA,1251,212,1919,7.236444974,0.105396841,0.402962065
FLD0259_08_07_2009_1,08.07.2009.1,2009-7-08,July,2009,Littoral,Summer,no,56.65,NA,NA,NA,NA,17.675,NA,NA,NA,NA,7.885475201,0.019757221,0
FLD0260_08_07_2009_2,08.07.2009.2,2009-7-08,July,2009,Pelagic,Summer,yes,58.26,NA,29.85,NA,NA,17.675,NA,NA,NA,NA,10.04104484,0.740418137,0.874829622
FLD0266_08_08_2009_p2,08.08.2009.p2,2009-8-08,August,2009,Pelagic,Summer,no,NA,NA,9.436,0.376,3.975,18.9,0.623,2303,630,3149,9.926872167,0.546200314,0.960903022
FLD0217_09_05_2007_1,09.05.2007.1,2007-5-09,May,2007,Littoral,Spring,no,77.135,767.25,29.665,0.59905,NA,11.425,NA,11893,318,15786,10.14533838,0,0.009500357
FLD0218_09_05_2007_2,09.05.2007.2,2007-5-09,May,2007,Pelagic,Spring,no,58.56,789.05,11.285,0.65675,NA,11.425,NA,670,15,740,15.16376822,0,0.01040712
FLD0303_09_08_2011_1,09.08.2011.1,2011-8-09,August,2011,Littoral,Summer,yes,337.647,8612,22.798,0.458,2.825,20.5625,NA,NA,NA,NA,3.333959651,0.168075218,1.92148011
FLD0304_09_08_2011_2,09.08.2011.2,2011-8-09,August,2011,Pelagic,Summer,yes,451.474,13422,46.44,1.011,2.825,20.5625,NA,NA,NA,NA,3.131825799,0.110334646,1.686657296
FLD0367_09_08_2016,09.08.2016,2016-8-09,August,2016,Littoral,Summer,NA,NA,NA,NA,NA,0,21.6875,NA,NA,NA,NA,NA,NA,NA
FLD0285_10_08_2010_1,10.08.2010.1,2010-8-10,August,2010,Littoral,Summer,yes,NA,NA,NA,NA,12.9,19.9625,NA,126,10,452,8.181490374,0.091891844,0.366580154
FLD0286_10_08_2010_2,10.08.2010.2,2010-8-10,August,2010,Pelagic,Summer,no,NA,NA,NA,NA,12.9,19.9625,NA,NA,NA,NA,13.1169569,0.194250376,0.188829011
FLD0351_10_08_2015_1,10.08.2015.1,2015-8-10,August,2015,Littoral,Summer,NA,74.1733,800.3131152,45.3,532,0.4875,18.7625,NA,NA,NA,NA,NA,NA,NA
FLD0214_10_10_2006_1,10.10.2006.1,2006-10-10,October,2006,Pelagic,Fall,no,NA,NA,NA,NA,2.2,10.1625,NA,0,0,1328,4.81054425,0.061444677,0.32835883
