"","description","sampleID","Date","Years","Month","Day.x","month.numeric.x","week.x","Period","Mean_temp_t0_t7","Cumul_precip_t1_t7_mm","Site","Bloom","Tot.P_ug","Tot.N_mg","Dissolved.P","Dissolved.N","Microcystin","P_range","N_range","Temp.water","profondeur_secchi_cm","microcystin_ug_L","micro.sum.x","doli.sum.x","cyano.sum.x","micro.relab.sum.x","doli.relab.sum.x","cyano.relab.sum.x","micro.helli.sum.x","doli.helli.sum.x","cyano.helli.sum.x","Day.y","month.numeric.y","week.y","micro.sum.y","doli.sum.y","cyano.sum.y","micro.relab.sum.y","doli.relab.sum.y","cyano.relab.sum.y","micro.helli.sum.y","doli.helli.sum.y","cyano.helli.sum.y"
"1","01.06.2008","FLD0234_01_06_2008","2008-6-01",2008,"June",1,6,22,"Spring",13.425,48.6,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,NA,0,0,46456,0,0,0.356717243,0,0,2.619994127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","01.06.2008.1","FLD0233_01_06_2008_1","2008-6-01",2008,"June",1,6,22,"Spring",13.425,48.6,"Littoral","no",NA,NA,NA,NA,NA,"Mesotrophic","Mesotrophic",NA,NA,NA,0,0,13837,0,0,0.327495207,0,0,2.246578814,1,6,22,0,0,13837,0,0,0.32749520721403,0,0,2.2465788138168
"3","01.08.2016","FLD0366_01_08_2016","2016-8-01",2016,"August",1,8,31,"Summer",20.675,1.1,"Littoral",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","02.07.2008","FLD0238_02_07_2008","2008-7-02",2008,"July",2,7,27,"Summer",20.425,21.8,"Pelagic","no",23.258,850,NA,NA,NA,"Mesotrophic","Mesotrophic",23.28,NA,NA,0,0,47,0,0,0.030012771,0,0,0.368179215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","02.08.2006.1b","FLD0202_02_08_2006_1b","2006-8-02",2006,"August",2,8,31,"Summer",23.425,89,"Pelagic","yes",80.09251,960.016,45.5060465,0.636552,0.477,"Eutrophic","Eutrophic",27.8,NA,1.88,3960,28764,33705,0.049914289,0.362559242,0.424838661,0.364509395,1.392620982,2.248053959,2,8,31,3960,28764,33705,0.0499142885953413,0.362559241706161,0.424838660885348,0.364509394607617,1.39262098237626,2.24805395882055
"6","02.08.2006.2b","FLD0203_02_08_2006_2b","2006-8-02",2006,"August",2,8,31,"Summer",23.425,89,"Littoral","yes",121.2247495,1425.8495,28.699325,0.556977,1.88,NA,NA,NA,NA,0,9210,37589,51363,0.042875498,0.174988827,0.239111206,0.308117651,1.008274026,2.066939991,2,8,31,9210,37589,51363,0.0428754981192507,0.17498882723176,0.239111206286544,0.308117650689747,1.00827402579244,2.06693999056688
"7","02.08.2007.1","FLD0221_02_08_2007_1","2007-8-02",2007,"August",2,8,31,"Summer",22.25,2.8,"Littoral","no",46.655,580.8,21.805,0.35985,NA,"Mesotrophic","Mesotrophic",20.61,NA,0.0033,22,7,2545,0.000469343,0.000149337,0.054294492,0.021664334,0.012220332,1.18940605,2,8,31,22,7,2545,0.000469343345991381,0.000149336519179076,0.0542944916158211,0.021664333499819,0.012220332204121,1.18940604952003
"8","02.08.2007.2","FLD0222_02_08_2007_2","2007-8-02",2007,"August",2,8,31,"Summer",22.25,2.8,"Pelagic","no",43.88,577.3,18.34,0.4217,NA,NA,NA,NA,NA,NA,11,0,3062,0.000195841,0,0.054515026,0.013994322,0,1.293435098,2,8,31,11,0,3062,0.00019584104828372,0,0.0545150263495229,0.0139943220015734,0,1.2934350980293
"9","02.09.2009.1","FLD0269_02_09_2009_1","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Littoral","no",58.47,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,0.135,202,1124,8000,0.003447452,0.019182851,0.136532751,0.097036461,0.225488038,1.974424838,2,9,35,202,1124,8000,0.00344745195753831,0.0191828514865003,0.136532750793597,0.0970364605846809,0.225488037897337,1.97442483782705
"10","02.09.2009.2","FLD0270_02_09_2009_2","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Pelagic","no",58.68,NA,NA,NA,0.135,NA,NA,NA,NA,NA,103,265,2425,0.006770525,0.017419312,0.159403142,0.082283201,0.275073556,2.062842089,2,9,35,103,265,2425,0.00677052520870308,0.0174193124301584,0.159403142049563,0.0822832012545883,0.275073555942882,2.06284208855309
