"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-01","2013","01","01","","-1,2","","-15,8","","-8,5","","26,5","","0,0","","","M","","M","1,0","","","","28","","41",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-02","2013","01","02","","-13,2","","-26,5","","-19,9","","37,9","","0,0","","","M","","M","1,2","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-03","2013","01","03","","-8,6","","-26,8","","-17,7","","35,7","","0,0","","","M","","M","0,0","","","","16","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-04","2013","01","04","","-0,2","","-15,0","E","-7,6","E","25,6","E","0,0","E","","M","","M","","M","","","25","E","39","E"
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-05","2013","01","05","","0,0","","-17,0","","-8,5","","26,5","","0,0","","","M","","M","0,0","","","","35","","44",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-06","2013","01","06","","-1,1","","-9,3","","-5,2","","23,2","","0,0","","","M","","M","5,6","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-07","2013","01","07","","-5,4","","-16,0","","-10,7","","28,7","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-08","2013","01","08","","1,0","","-5,5","","-2,3","","20,3","","0,0","","","M","","M","0,0","","","","18","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-09","2013","01","09","","5,1","","-3,3","","0,9","","17,1","","0,0","","","M","","M","1,0","","","","28","","48",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-10","2013","01","10","","2,4","","-3,9","","-0,8","","18,8","","0,0","","","M","","M","0,0","","","","28","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-11","2013","01","11","","4,5","","-3,1","","0,7","","17,3","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-12","2013","01","12","","9,0","","3,0","","6,0","","12,0","","0,0","","","M","","M","0,0","","","","20","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-13","2013","01","13","","12,4","","3,6","","8,0","","10,0","","0,0","","","M","","M","1,2","","","","16","","44",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-14","2013","01","14","","11,5","","-0,4","","5,6","","12,4","","0,0","","","M","","M","0,0","","","","28","","39",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-15","2013","01","15","","-0,3","","-3,5","","-1,9","","19,9","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-16","2013","01","16","","-0,2","","-3,7","E","-2,0","E","20,0","E","0,0","E","","M","","M","","M","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-17","2013","01","17","","0,3","","-17,7","","-8,7","","26,7","","0,0","","","M","","M","1,0","","","","29","","41",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-18","2013","01","18","","-7,1","","-21,0","","-14,1","","32,1","","0,0","","","M","","M","0,0","","","","28","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-19","2013","01","19","","4,4","","-7,9","","-1,8","","19,8","","0,0","","","M","","M","6,0","","","","17","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-20","2013","01","20","","6,5","","-0,1","E","3,2","E","14,8","E","0,0","E","","M","","M","","M","","","24","E","61","E"
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-21","2013","01","21","","-13,4","","-17,1","","-15,3","","33,3","","0,0","","","M","","M","0,0","","","","26","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-22","2013","01","22","","-14,6","","-20,7","","-17,7","","35,7","","0,0","","","M","","M","0,0","","","","26","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-23","2013","01","23","","-20,7","","-25,7","E","-23,2","E","41,2","E","0,0","E","","M","","M","","M","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-24","2013","01","24","","-17,3","","-25,4","","-21,4","","39,4","","0,0","","","M","","M","0,0","","","","26","","44",""
"-72,85","45,03","FRELIGHSBURG","7022579","2013-01-25","2013","01","25","","-13,6","","-20,1","E","-16,9","E","34,9","E","0,0","E","","M","","M","","M","","","","","<31",""
