"","from","to","weight"
"1","vir_ASV_4","doli_ASV_16",0.164861005381499
"2","vir_ASV_4","doli_ASV_2167",-0.00590782039568999
"3","vir_ASV_4","doli_ASV_2628",-0.020350967619086
"4","vir_ASV_4","micro_ASV_1928",-0.0234432246231674
"5","vir_ASV_6","doli_ASV_735",-0.0209406794149967
"6","vir_ASV_9","micro_ASV_8",0.00157525001787112
"7","vir_ASV_11","doli_ASV_11",-0.105942130938387
"8","vir_ASV_16","doli_ASV_16",-0.0317584399221245
"9","vir_ASV_16","doli_ASV_1114",0.0150320298611649
"10","vir_ASV_19","doli_ASV_11",0.0351556594195757
"11","vir_ASV_19","doli_ASV_18",0.049563525624191
"12","vir_ASV_19","doli_ASV_110",-0.00152648873259847
"13","vir_ASV_24","doli_ASV_85",-0.0921446145153161
"14","vir_ASV_25","doli_ASV_11",0.0140254766433848
"15","vir_ASV_25","doli_ASV_50",0.00380093271196619
"16","vir_ASV_26","doli_ASV_10",0.0340073815708037
"17","vir_ASV_26","doli_ASV_1243",-0.153756754710637
"18","vir_ASV_41","micro_ASV_143",-0.174705665346105
"19","vir_ASV_43","doli_ASV_735",0.0873770698833919
"20","vir_ASV_44","doli_ASV_683",0.0241818521065636
"21","vir_ASV_44","doli_ASV_890",-0.0171066052294088
"22","vir_ASV_45","doli_ASV_50",0.0632195139247452
"23","vir_ASV_46","doli_ASV_1812",0.0196747840126375
"24","vir_ASV_47","doli_ASV_18",0.0919344149729261
"25","vir_ASV_47","doli_ASV_110",-0.0170474844612781
"26","vir_ASV_47","doli_ASV_836",-0.0170675583450838
"27","vir_ASV_47","doli_ASV_890",-0.00987935051960917
"28","vir_ASV_47","doli_ASV_1184",-0.0278115383012872
"29","vir_ASV_48","doli_ASV_292",0.0709618363179649
"30","vir_ASV_48","doli_ASV_356",0.0131260822093072
"31","vir_ASV_53","doli_ASV_11",-0.0137139217404132
"32","vir_ASV_53","doli_ASV_18",-0.0155280480151459
"33","vir_ASV_53","doli_ASV_1506",0.0151579700328348
"34","vir_ASV_53","doli_ASV_1812",0.0483211008559035
"35","vir_ASV_57","doli_ASV_129",-0.126181402739118
"36","vir_ASV_62","doli_ASV_11",-0.0355577890546236
"37","vir_ASV_64","doli_ASV_292",-0.0241786315211328
"38","vir_ASV_64","micro_ASV_7",0.0125523404957933
"39","vir_ASV_69","micro_ASV_143",0.0186500023516658
"40","vir_ASV_73","doli_ASV_16",-0.11066237080493
"41","vir_ASV_74","doli_ASV_890",0.00968831423124578
"42","vir_ASV_79","doli_ASV_890",-0.0122203557052227
"43","vir_ASV_80","micro_ASV_8",0.116345019677656
"44","vir_ASV_80","micro_ASV_143",-0.000464172713130789
"45","vir_ASV_81","doli_ASV_379",0.0415316747477804
"46","vir_ASV_81","doli_ASV_1397",-0.0224410675124332
"47","vir_ASV_81","doli_ASV_1812",-0.0300915187174933
"48","vir_ASV_81","doli_ASV_1881",-0.042766350807533
"49","vir_ASV_82","doli_ASV_683",0.0783833588060232
"50","vir_ASV_87","doli_ASV_280",-0.0320961806817222
"51","vir_ASV_92","micro_ASV_7",0.0038130438823317
"52","vir_ASV_92","micro_ASV_8",-0.00901284445355971
"53","vir_ASV_94","doli_ASV_85",0.0199420492400532
"54","vir_ASV_99","doli_ASV_10",-0.074824058937188
"55","vir_ASV_99","doli_ASV_2628",0.00928463977811436
"56","vir_ASV_105","doli_ASV_110",0.000409418280848117
"57","vir_ASV_111","doli_ASV_18",0.00892730345864884
"58","vir_ASV_124","doli_ASV_735",0.102220941565342
"59","vir_ASV_127","doli_ASV_11",-0.0733989073614321
"60","vir_ASV_133","doli_ASV_2303",-0.00476725732043476
"61","vir_ASV_135","doli_ASV_1881",-0.018830386454662
"62","vir_ASV_138","doli_ASV_16",-0.0294603746960892
"63","vir_ASV_140","doli_ASV_50",0.0555371747719601
"64","vir_ASV_146","doli_ASV_683",0.0721239406331657
"65","vir_ASV_149","doli_ASV_18",0.022855609843644
"66","vir_ASV_149","doli_ASV_1111",-0.0956027593238708
"67","vir_ASV_149","doli_ASV_1243",-0.0311701401497217
"68","vir_ASV_149","doli_ASV_2985",-0.0230448192203547
"69","vir_ASV_149","micro_ASV_8",0.00459676933053332
"70","vir_ASV_151","doli_ASV_16",-0.00807870989091386
"71","vir_ASV_151","doli_ASV_1506",0.033923183727005
"72","vir_ASV_151","doli_ASV_1812",0.00912367556886939
"73","vir_ASV_154","doli_ASV_50",-0.0238113882551333
"74","vir_ASV_154","doli_ASV_1881",-0.00688150415816949
"75","vir_ASV_154","micro_ASV_859",-0.00304380050178679
"76","vir_ASV_156","doli_ASV_836",0.08569276423248
"77","vir_ASV_156","doli_ASV_1114",0.0167009043701315
"78","vir_ASV_157","doli_ASV_280",0.0351622968927104
"79","vir_ASV_157","doli_ASV_683",0.00789022146647861
"80","vir_ASV_157","doli_ASV_1506",0.234436897900489
"81","vir_ASV_158","doli_ASV_683",0.0123594679838598
"82","vir_ASV_160","doli_ASV_1243",-0.00527329291527839
"83","vir_ASV_160","doli_ASV_1812",-0.055946082415743
"84","vir_ASV_161","doli_ASV_50",0.0274261663767351
"85","vir_ASV_167","doli_ASV_16",0.00136280359230964
"86","vir_ASV_178","doli_ASV_1812",0.0151308175381772
"87","vir_ASV_178","doli_ASV_1831",0.0130591380702677
"88","vir_ASV_180","doli_ASV_85",0.117690301581637
"89","vir_ASV_181","doli_ASV_10",0.145428437402478
"90","vir_ASV_184","doli_ASV_735",0.0190160145345435
"91","vir_ASV_189","doli_ASV_50",0.106860465906899
"92","vir_ASV_191","doli_ASV_292",-0.00712025031709579
"93","vir_ASV_191","doli_ASV_836",0.0574108830448172
"94","vir_ASV_191","doli_ASV_1111",0.0189799356775863
"95","vir_ASV_196","micro_ASV_859",0.0479291105173405
"96","vir_ASV_197","doli_ASV_735",0.0546012759488794
"97","vir_ASV_197","micro_ASV_143",-0.00777049339527852
"98","vir_ASV_198","doli_ASV_85",0.0202660394307535
"99","vir_ASV_209","doli_ASV_16",0.053208451746511
"100","vir_ASV_209","doli_ASV_356",-0.0161336157253874
"101","vir_ASV_209","doli_ASV_2628",-0.0171867296934683
"102","vir_ASV_209","micro_ASV_859",-0.00798873597641556
"103","vir_ASV_209","micro_ASV_1928",-0.00146658972503183
"104","vir_ASV_211","doli_ASV_11",0.00521232992754914
"105","vir_ASV_216","micro_ASV_7",-0.00139345688239612
"106","vir_ASV_217","doli_ASV_292",0.0491920419773354
"107","vir_ASV_218","doli_ASV_735",0.00989119892726797
"108","vir_ASV_218","doli_ASV_1812",-0.0679660603927421
"109","vir_ASV_218","doli_ASV_2185",-0.0204876769092693
"110","vir_ASV_218","micro_ASV_143",-0.001675582955254
"111","vir_ASV_220","micro_ASV_8",0.00370548039285512
"112","vir_ASV_222","doli_ASV_1184",0.114318583665363
"113","vir_ASV_224","doli_ASV_1506",0.0528172865497886
"114","vir_ASV_230","doli_ASV_735",0.0290215408314358
"115","vir_ASV_232","doli_ASV_16",0.0376102282125839
"116","vir_ASV_232","doli_ASV_129",0.0257781128127586
"117","vir_ASV_233","doli_ASV_292",0.0851282286081855
"118","vir_ASV_233","doli_ASV_1111",-0.0282977530456939
"119","vir_ASV_237","doli_ASV_890",0.0265062041272615
"120","vir_ASV_241","doli_ASV_1184",-0.00476968164151698
"121","vir_ASV_242","micro_ASV_143",0.0118232898761121
"122","vir_ASV_243","micro_ASV_1928",-0.0211700900122619
"123","vir_ASV_244","micro_ASV_8",0.000864940521393714
"124","vir_ASV_244","micro_ASV_1928",-0.109730865428683
"125","vir_ASV_246","micro_ASV_143",-0.00159087468258129
"126","vir_ASV_249","micro_ASV_8",-0.0322157453775623
"127","vir_ASV_251","doli_ASV_356",0.158910834719685
"128","vir_ASV_251","doli_ASV_379",0.0612722236993065
"129","vir_ASV_253","doli_ASV_683",0.0399154752157562
"130","vir_ASV_254","doli_ASV_2628",-0.00899523556995641
"131","vir_ASV_255","doli_ASV_1881",0.00945244991822536
"132","vir_ASV_261","doli_ASV_16",-0.00232326373423394
"133","vir_ASV_273","doli_ASV_16",0.122179304509086
"134","vir_ASV_274","doli_ASV_110",0.0221111720693284
"135","vir_ASV_277","micro_ASV_143",0.0487966207867888
"136","vir_ASV_286","doli_ASV_379",0.0265947750592309
"137","vir_ASV_287","doli_ASV_18",0.00997893216294116
