"","FLD0194_30_05_2006_2b","FLD0195_13_06_2006_1c","FLD0196_13_06_2006_2c","FLD0197_27_06_2006_1","FLD0198_27_06_2006_2","FLD0199_12_07_2006_1b","FLD0200_12_07_2006_2b","FLD0202_02_08_2006_1b","FLD0203_02_08_2006_2b","FLD0205_15_08_2006_2a","FLD0206_22_08_2006_1","FLD0207_22_08_2006_2","FLD0208_05_09_2006_1","FLD0209_05_09_2006_2","FLD0210_12_09_2006_1a","FLD0211_12_09_2006_2b","FLD0212_15_08_2006_1a","FLD0213_26_09_2006_2a","FLD0214_10_10_2006_1","FLD0215_16_10_2006_1b","FLD0216_16_10_2006_2b","FLD0219_06_07_2007_1","FLD0220_06_07_2007_2","FLD0221_02_08_2007_1","FLD0222_02_08_2007_2","FLD0223_22_08_2007_1","FLD0224_22_08_2007_2","FLD0225_05_09_2007_1","FLD0226_05_09_2007_2","FLD0227_19_09_2007_1","FLD0228_19_09_2007_2","FLD0229_26_09_2007_1","FLD0230_26_09_2007_2","FLD0231_10_10_2007_1","FLD0232_22_05_2008_1","FLD0233_01_06_2008_1","FLD0234_01_06_2008","FLD0236_25_06_2008_a","FLD0237_25_06_2008_b","FLD0238_02_07_2008","FLD0239_15_07_2008_1","FLD0240_15_07_2008_2","FLD0241_04_08_2008_4b","FLD0242_04_08_2008_2b","FLD0243_18_08_2008_4d","FLD0244_24_08_2008_2","FLD0245_29_08_2008_1","FLD0246_29_08_2008_2","FLD0248_03_09_2008_2b","FLD0249_17_09_2008_1d","FLD0250_17_09_2008_3b","FLD0251_07_10_2008_5b","FLD0252_07_10_2008_6b","FLD0253_27_10_2008_1","FLD0254_27_10_2008_2","FLD0255_20_05_2009_1","FLD0256_20_05_2009_2","FLD0257_17_06_2009_1","FLD0258_17_06_2009_2","FLD0259_08_07_2009_1","FLD0260_08_07_2009_2","FLD0261_12_07_2009_1b","FLD0262_12_07_2009_2b","FLD0263_25_07_2009_b","FLD0264_25_07_2009_p2","FLD0265_29_07_2009_1","FLD0266_08_08_2009_p2","FLD0267_22_08_2009_1","FLD0268_22_08_2009_p1","FLD0269_02_09_2009_1","FLD0270_02_09_2009_2","FLD0271_16_09_2009_1","FLD0272_16_09_2009_2","FLD0273_23_09_2009_1","FLD0274_23_09_2009_2","FLD0275_15_10_2009_1","FLD0276_15_10_2009_p2","FLD0277_05_05_2010_1","FLD0278_05_05_2010_2","FLD0279_16_06_2010_1","FLD0280_16_06_2010_2","FLD0281_05_07_2010_1","FLD0282_12_07_2010_1","FLD0283_12_07_2010_2","FLD0284_26_07_2010_1","FLD0285_10_08_2010_1","FLD0286_10_08_2010_2","FLD0289_22_08_2010_1","FLD0290_16_09_2010_1","FLD0291_16_09_2010_2","FLD0292_19_10_2010_1","FLD0293_19_10_2010_2","FLD0294_15_05_2011_1","FLD0295_15_05_2011_2","FLD0297_21_06_2011_1","FLD0298_21_06_2011_2","FLD0299_05_07_2011_1","FLD0300_05_07_2011_2","FLD0301_19_07_2011_1","FLD0302_19_07_2011_2","FLD0303_09_08_2011_1","FLD0304_09_08_2011_2","FLD0305_23_08_2011_1","FLD0306_23_08_2011_2","FLD0307_12_09_2011_1","FLD0308_12_09_2011_2","FLD0309_12_10_2011_1","FLD0310_12_10_2011_2","FLD0311_24_04_2012_1","FLD0312_07_06_2012_1","FLD0313_07_06_2012_2","FLD0314_20_07_2012_1","FLD0315_20_07_2012_2","FLD0316_14_08_2012_1","FLD0317_14_08_2012_2","FLD0318_17_09_2012_1","FLD0319_17_09_2012_2","FLD0320_17_10_2012_1","FLD0321_17_10_2012_2","FLD0323_05_06_2013_1","FLD0324_05_06_2013_2","FLD0325_03_07_2013_1","FLD0326_03_07_2013_2","FLD0327_16_08_2013_1","FLD0328_16_08_2013_2","FLD0329_27_08_2013_1","FLD0330_17_09_2013_1","FLD0331_17_09_2013_2","FLD0332_23_10_2013_1","FLD0333_23_10_2013_2","FLD0334_19_03_2015_p1","FLD0335_19_03_2015_p2","FLD0338_30_06_2015_p1","FLD0339_30_06_2015_L2","FLD0340_16_07_2015_p1","FLD0341_16_07_2015_L1","FLD0342_28_07_2015_1","FLD0344_30_07_2015_1","FLD0347_04_08_2015_1","FLD0351_10_08_2015_1","FLD0353_12_08_2015_1","FLD0355_13_08_2015_1","FLD0356_13_08_2015_2","FLD0357_03_09_2015_2","FLD0358_16_09_2015_1","FLD0359_16_09_2015_2","FLD0360_21_10_2015_1","FLD0361_21_10_2015_2","FLD0362_19_07_2016","FLD0363_20_07_2016","FLD0364_25_07_2016","FLD0365_27_07_2016","FLD0366_01_08_2016","FLD0367_09_08_2016","FLD0368_18_08_2016","FLD0369_23_08_2016","FLD0370_03_09_2016","FLD0371_15_09_2016","FLD0372_22_09_2016","FLD0373_25_10_2016"
"ASV_1",157,13842,13216,1371,2275,2587,4868,471,840,128,530,605,525,456,310,654,340,576,0,233,244,601,1224,1142,1913,242,421,76,66,186,252,112,99,147,100,521,709,6089,5316,2363,5212,6390,57,1192,924,1506,629,509,2303,3310,2640,118,397,1383,435,1473,257,7727,4793,14134,11183,19804,19362,203,269,4028,3815,881,545,137,459,45,177,210,399,433,440,62,64,7262,6692,1745,963,788,3953,2431,893,512,1077,617,1495,1492,86,79,7380,14671,7698,11283,7526,1736,2389,3136,4008,3428,10369,9243,14979,15109,664,3939,4255,1209,466,2440,1160,2312,3142,16212,12887,33646,14610,15206,22128,7363,5460,2761,3530,10342,15255,14294,71,10,9381,4473,15162,19093,22559,12035,19426,12334,27056,27395,20178,737,1267,2865,5117,3093,6548,7009,4480,4326,5431,4295,1001,1703,5104,1711,174,4834
"ASV_2",43,115,132,71,106,41,60,33,117,86,3171,3090,13100,19779,15600,17921,13346,20934,96,1450,2334,10,14,222,214,19136,15067,21065,14141,8755,12051,22625,18777,9446,666,1711,2480,426,1133,884,1061,1233,57,2663,786,3790,13049,10564,3198,13931,12767,848,4270,2611,749,2270,942,600,339,801,533,377,265,66,20,3001,69,146,908,2239,4226,4786,8419,4528,8540,11516,10618,315,375,543,507,81,202,161,2543,2414,1932,474,365,585,179,183,43,53,19,28,150,100,75,60,2106,1560,2996,3602,1520,1892,450,348,198,242,203,3373,6848,16380,17618,11214,8885,8329,5880,933,662,267,388,372,1396,244,2083,2037,2108,1320,0,0,144,40,44,76,31,22,41,41,253,193,50,32,95,209,2743,640,88,82,256,377,2777,2816,8747,13705,3970,698,123,175
"ASV_3",0,0,0,0,0,8,10,190,490,34,89,87,225,244,410,180,144,145,19,43,22,736,705,1531,1734,1029,1265,2157,2208,1197,1252,3799,3466,3444,71,152,156,1303,1351,11619,7575,8545,138,2113,2296,2645,142,103,3450,4070,2935,927,2600,1534,336,148,40,51,102,469,611,1136,553,217,129,1308,2595,7321,3579,14583,22851,4634,12624,8153,2918,5776,9358,28,33,150,167,1333,3430,9271,34186,19118,14893,5827,1157,2156,122,146,35,27,164,232,3966,2496,24508,32523,5226,4028,2564,4430,1011,2732,2000,2752,43,127,197,2528,3987,4239,5101,1010,579,167,117,59,0,0,52,2177,2290,3027,1514,5790,192,239,13,0,78,54,66,0,0,0,0,45,71,136,48,155,2542,2164,572,158,81,125,98,61,281,265,1396,1187,201,416,95,0
"ASV_4",22,65,58,35,20,41,45,23794,28156,1216,4931,3918,5339,5978,8407,9240,681,1078,176,998,1214,26,104,24,105,87,115,143,189,46,80,219,284,265,11,16,44,21,27,84,1420,2551,1336,5112,2647,6767,2789,2271,3295,1626,1550,1091,2641,89,15,75,19,78,43,89,95,243,149,24820,12447,1796,19550,7635,8052,3289,6852,641,1468,694,527,560,352,11,13,274,286,398,3076,3928,9282,1115,652,535,264,340,77,40,0,0,6,0,54,56,78,40,411,382,2923,5287,256,1313,101,306,74,33,58,5557,844,1840,1204,1309,784,139,107,30,0,19,16,641,283,127,102,279,57,31,0,7,13,0,18,11,38,126,14037,6637,8436,8260,6915,1970,6801,6771,5115,2230,910,1380,685,886,1231,978,3173,1648,655,2612,362,374
"ASV_5",108,385,263,37,51,76,139,105,215,48,3726,3774,3991,4943,1738,2640,2202,3266,75,1546,1776,540,738,3880,3093,8925,9629,2600,960,10435,13159,3366,2954,3353,341,1254,1527,5858,4990,2802,4758,5610,308,8291,3149,11436,7526,6347,9216,13053,11161,1084,3260,1672,543,3118,757,1692,869,4831,3354,3696,2982,465,249,15605,648,2213,876,294,903,207,551,738,1071,810,730,82,25,105,128,658,3173,826,4412,1977,543,368,199,111,58,47,0,36,11,29,26,13,72,27,6382,4981,8823,5839,6645,6985,1759,1572,222,422,352,1089,518,1696,954,1722,1294,966,687,107,41,112,160,81,75,52,315,455,163,79,0,0,53,26,44,41,12,0,31,0,99,93,34,0,51,23,162,38,500,638,1029,1681,4596,6604,9243,12580,5285,5508,552,1125
"ASV_6",0,0,0,0,0,67,69,77,99,0,69,108,110,108,108,75,184,187,0,234,158,22,0,108,121,157,185,133,94,536,839,220,188,411,10,105,232,62,38,50,185,275,0,127,94,139,147,81,204,815,592,11,25,25031,7543,2226,596,707,392,6227,3600,4916,4843,547,246,261,1145,651,485,119,280,94,197,369,699,558,835,66,34,219,210,68,41,23,144,179,104,389,12247,10300,17248,13199,20,94,20,134,1075,717,2937,763,1206,1640,2335,1660,4836,4853,6597,5817,299,1015,986,583,204,819,350,703,657,1902,1168,272,92,202,159,1758,816,724,1372,3297,3324,2637,96,83,1499,1084,4135,3414,4786,2478,5534,2719,6566,4213,3649,558,578,687,2515,739,9142,9586,6282,6005,6516,6336,2512,2105,5989,4263,289,1120
"ASV_7",0,66,66,23,39,46,23,46,38,20,258,334,2673,3151,2785,3100,292,478,21,192,254,3,21,48,85,3127,2976,2985,2921,677,872,2863,3761,1680,95,96,162,39,195,107,132,143,9,172,173,256,2042,1604,1292,4112,3934,633,2039,236,69,128,49,140,92,90,96,92,76,21,8,106,69,988,22678,9127,14111,2240,5289,10124,5610,5390,4079,73,41,441,568,277,118,333,770,11250,9111,3703,515,590,94,83,7,4,0,25,127,155,78,38,9018,4245,17780,15494,1327,4276,367,511,110,201,225,5153,11512,8094,9365,2360,1549,279,168,100,241,109,272,140,573,200,776,276,418,266,0,0,55,23,49,53,105,29,109,84,318,239,133,33,142,110,74,55,50,30,25,41,81,309,352,289,149,26,15,25
"ASV_8",0,0,7,7,0,3,11,13,17,4,85,56,116,118,89,61,8,13,0,10,0,63,1697,4182,4094,1771,2896,5849,5152,2359,3353,4219,7571,801,10,39,129,389,1940,2135,799,976,35,1877,838,2410,109,98,603,824,631,157,614,13,2,68,10,15,16,42,42,419,916,94,41,4499,1451,7975,13496,2508,5257,1574,3296,1715,2312,1108,659,15,2,33,19,5710,25696,5216,4483,1483,1330,190,49,88,71,63,5,4,0,0,7,18,40,32,3922,2545,399,243,43,93,12,13,31,4,12,4696,6201,169,286,32,29,16,0,8,0,124,77,50,716,51,198,341,18,20,0,10,187,102,1466,950,126,509,683,764,1727,896,1843,126,157,581,355,71,9355,11194,11102,14662,10658,3857,1212,688,9727,19,5,53
"ASV_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,147,122,155,0,112,550,210,0,0,127,0,44,0,37,135,35,85,40,0,0,609,197,203,196,0,23,541,111,1381,1176,192,388,27,21,36,48,38,37,21,12,36,0,9,37,0,126,34,7,178,9,10,0,0,0,0,0,0,0,9,158,56,41,29,0,14,41,12,3682,3746,142,59,54,2921,1178,629,346,154,105,117,75,96,31,29,22,405,260,136,141,190,44,51,0,0,41021,41196,17773,18539,7728,2637,6513,1595,5376,4323,3002,196,293,141,229,58,1910,2128,1376,1982,1430,478,143,159,1194,85,54,178
"ASV_10",112,7182,7159,766,1606,1308,2377,297,390,0,237,262,224,197,137,334,187,295,0,138,117,360,769,746,1306,165,323,0,0,115,164,38,44,48,0,271,457,3050,2560,1189,2266,2956,0,469,335,624,228,235,942,1238,953,50,132,537,158,814,133,3809,2127,6663,5253,8254,7809,104,95,1506,1538,340,196,53,166,0,56,62,117,119,148,0,0,2806,2692,619,389,372,1568,754,217,153,292,232,285,319,37,32,1616,3811,1780,2556,1450,356,453,527,562,463,747,779,493,637,0,771,750,220,83,524,214,256,299,269,179,3776,1872,1990,2841,856,831,301,305,669,242,0,0,0,888,553,1252,1739,1986,1075,1629,1356,2923,2852,2159,102,180,323,637,380,2019,2125,1266,1292,1672,1221,334,458,1560,486,0,592
