"","FLD0194_30_05_2006_2b","FLD0195_13_06_2006_1c","FLD0196_13_06_2006_2c","FLD0197_27_06_2006_1","FLD0198_27_06_2006_2","FLD0199_12_07_2006_1b","FLD0200_12_07_2006_2b","FLD0201_25_07_2006_1","FLD0202_02_08_2006_1b","FLD0203_02_08_2006_2b","FLD0212_15_08_2006_1a","FLD0205_15_08_2006_2a","FLD0206_22_08_2006_1","FLD0207_22_08_2006_2","FLD0208_05_09_2006_1","FLD0209_05_09_2006_2","FLD0210_12_09_2006_1a","FLD0211_12_09_2006_2b","FLD0204_26_09_2006_1b","FLD0213_26_09_2006_2a","FLD0214_10_10_2006_1","FLD0215_16_10_2006_1b","FLD0216_16_10_2006_2b","FLD0217_09_05_2007_1","FLD0218_09_05_2007_2","FLD0219_06_07_2007_1","FLD0220_06_07_2007_2","FLD0221_02_08_2007_1","FLD0222_02_08_2007_2","FLD0223_22_08_2007_1","FLD0224_22_08_2007_2","FLD0225_05_09_2007_1","FLD0226_05_09_2007_2","FLD0227_19_09_2007_1","FLD0228_19_09_2007_2","FLD0229_26_09_2007_1","FLD0230_26_09_2007_2","FLD0231_10_10_2007_1","FLD0232_22_05_2008_1","FLD0233_01_06_2008_1","FLD0234_01_06_2008","FLD0236_25_06_2008_a","FLD0237_25_06_2008_b","FLD0238_02_07_2008","FLD0239_15_07_2008_1","FLD0240_15_07_2008_2","FLD0241_04_08_2008_4b","FLD0242_04_08_2008_2b","FLD0243_18_08_2008_4d","FLD0244_24_08_2008_2","FLD0245_29_08_2008_1","FLD0246_29_08_2008_2","FLD0248_03_09_2008_2b","FLD0249_17_09_2008_1d","FLD0250_17_09_2008_3b","FLD0251_07_10_2008_5b","FLD0252_07_10_2008_6b","FLD0253_27_10_2008_1","FLD0254_27_10_2008_2","FLD0255_20_05_2009_1","FLD0256_20_05_2009_2","FLD0257_17_06_2009_1","FLD0258_17_06_2009_2","FLD0259_08_07_2009_1","FLD0260_08_07_2009_2","FLD0261_12_07_2009_1b","FLD0262_12_07_2009_2b","FLD0263_25_07_2009_b","FLD0264_25_07_2009_p2","FLD0265_29_07_2009_1","FLD0266_08_08_2009_p2","FLD0267_22_08_2009_1","FLD0268_22_08_2009_p1","FLD0269_02_09_2009_1","FLD0270_02_09_2009_2","FLD0271_16_09_2009_1","FLD0272_16_09_2009_2","FLD0273_23_09_2009_1","FLD0274_23_09_2009_2","FLD0275_15_10_2009_1","FLD0276_15_10_2009_p2","FLD0277_05_05_2010_1","FLD0278_05_05_2010_2","FLD0279_16_06_2010_1","FLD0280_16_06_2010_2","FLD0281_05_07_2010_1","FLD0282_12_07_2010_1","FLD0283_12_07_2010_2","FLD0284_26_07_2010_1","FLD0285_10_08_2010_1","FLD0286_10_08_2010_2","FLD0289_22_08_2010_1","FLD0290_16_09_2010_1","FLD0291_16_09_2010_2","FLD0292_19_10_2010_1","FLD0293_19_10_2010_2","FLD0294_15_05_2011_1","FLD0295_15_05_2011_2","FLD0297_21_06_2011_1","FLD0298_21_06_2011_2","FLD0299_05_07_2011_1","FLD0300_05_07_2011_2","FLD0301_19_07_2011_1","FLD0302_19_07_2011_2","FLD0303_09_08_2011_1","FLD0304_09_08_2011_2","FLD0305_23_08_2011_1","FLD0306_23_08_2011_2","FLD0307_12_09_2011_1","FLD0308_12_09_2011_2","FLD0309_12_10_2011_1","FLD0310_12_10_2011_2","FLD0311_24_04_2012_1","FLD0312_07_06_2012_1","FLD0313_07_06_2012_2","FLD0314_20_07_2012_1","FLD0315_20_07_2012_2","FLD0316_14_08_2012_1","FLD0317_14_08_2012_2","FLD0318_17_09_2012_1","FLD0319_17_09_2012_2","FLD0320_17_10_2012_1","FLD0321_17_10_2012_2","FLD0323_05_06_2013_1","FLD0324_05_06_2013_2","FLD0325_03_07_2013_1","FLD0326_03_07_2013_2","FLD0327_16_08_2013_1","FLD0328_16_08_2013_2","FLD0329_27_08_2013_1","FLD0330_17_09_2013_1","FLD0331_17_09_2013_2","FLD0332_23_10_2013_1","FLD0333_23_10_2013_2","FLD0334_19_03_2015_p1","FLD0335_19_03_2015_p2","FLD0336_19_03_2015_L1","FLD0337_19_03_2015_L2","FLD0338_30_06_2015_p1","FLD0339_30_06_2015_L2","FLD0340_16_07_2015_p1","FLD0341_16_07_2015_L1","FLD0342_28_07_2015_1","FLD0344_30_07_2015_1","FLD0347_04_08_2015_1","FLD0351_10_08_2015_1","FLD0353_12_08_2015_1","FLD0355_13_08_2015_1","FLD0356_13_08_2015_2","FLD0357_03_09_2015_2","FLD0358_16_09_2015_1","FLD0359_16_09_2015_2","FLD0360_21_10_2015_1","FLD0361_21_10_2015_2","FLD0362_19_07_2016","FLD0363_20_07_2016","FLD0364_25_07_2016","FLD0365_27_07_2016","FLD0366_01_08_2016","FLD0367_09_08_2016","FLD0368_18_08_2016","FLD0369_23_08_2016","FLD0370_03_09_2016","FLD0371_15_09_2016","FLD0372_22_09_2016","FLD0373_25_10_2016"
"ASV_430",0,0.00034363566533929,0,0.00780274656679151,0.00379240115176628,0.00217048984976806,0.00310930399425975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98287450028804e-05,0,6.08522355590038e-05,0,0,6.49139889646219e-05,0,0,4.26121231490359e-05,0,0,4.3006590760034e-05,0,0,0,0,0,0,0,0,0.000140638498784482,0,8.79916533631667e-05,0,0,7.54280542076283e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114099429502852,0,4.83033450066417e-05,0,0,0,0,0,0,0,0,5.65216572149895e-05,0.000160808637721112,0,0,0,0.00281667471430871,0.00267731254851639,0.003594190784662,0.000707444492816717,0.000154458708038718,0,5.12225105859855e-05,0,0,0,0,0,5.51214739482134e-05,0,0,0,0,0,0,0,0,0,0,0,4.81749714964752e-05,0,0,5.20704513206368e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6168584586618e-05,9.14592320473149e-05,2.51043924318625e-05,0,4.47522404090355e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_361",0,0,0.000286409852498926,0,0.000210688952875904,0,8.96914613728773e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041200302135549,0,0.000122200303755041,0,0,8.11984897080914e-05,0,0,0,0,0,0,0,0,0,0,0,3.97503676909011e-05,0,0.00438690348812326,0.00348358492557796,0.00109008327024981,0.000924195849155164,0.00163924399045813,0.000779354644073762,0.00106433172037701,0.000602312449583221,0.000201141477887009,0.000303459437588509,3.27446571634395e-05,0.000447828034034931,8.98943741104203e-05,0,0,5.96494995406989e-05,0,0,0,0,8.7590601528456e-05,0,0.0215465645199904,0.0184799583550234,0.00211898940505297,0.00164368296420114,0.000169061707523246,5.06657479277709e-05,0.00017480683844352,0.000344225192120685,3.10250682551502e-05,0,0,0.000383149102473227,0.000231686254686381,0,0.000252699287847462,0,0,0,0,9.50525165153747e-05,0,2.72094035698737e-05,0,0,0,4.18493215178749e-05,2.40865187754414e-05,0.000105808909110147,0.000258174448474834,0,4.134110546116e-05,0.000789889415481833,4.98280930788779e-05,3.89276723847092e-05,0,0,0,0,0,0,0,0,0,0.000131908719166337,0.000220320934160761,0,0,0,0,0,0,6.95081602580143e-05,0.000149965008164762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000108904780919882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_712",0,0.000242566352004204,0.000388699085534257,0,0.000702296509586347,0.000255351747031536,0.000298971537909591,0.00277488727020465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012279355333845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000454029511918275,0.000733317037399169,0.000480670191581405,6.70308677145826e-05,3.49143725014402e-05,0,0,0,0,0,0,2.53337724520558e-05,0,0,0,0,0,0,0,0,0,8.02482345388401e-05,0,0,0.000100456070560344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000179299103504482,0.000167154199749269,0,0,0,0,0,0,0,0,0,0.000584057124554892,0.000413507925568573,0,0,0,0.00012071463061323,0.00030099963563202,0.000292550412705046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192699885985901,0.000158290462999604,0,0.000143193741131751,0,0,0,0,0,0,0,0,0,0,0,0,8.34747767049723e-05,0,0,0,0,8.07950230265816e-05,0,1.67362616212417e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102432029032164
"ASV_655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62315507217901e-05,0,0,0,0,0,0,0,0,0,0,0,7.20603866039741e-05,0,0,0,0.000378489197287494,0,4.80388153628132e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75233862215102e-05,0.000232160570692894,0.000107369099173258,6.10948191593353e-05,0.000118548960720778,2.75317762584316e-05,3.14594016421808e-05,8.7590601528456e-05,0,0,0,0,0,0,5.06657479277709e-05,0,0.000877774239907748,0.000175808720112518,0.000215245533655177,0.000565897826171799,0.00013410218586563,6.3187160369013e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81654966464773e-05,5.62258931483127e-05,0,0.000115900222785984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6168584586618e-05,0,3.34725232424833e-05,0,8.95044808180709e-05,0.000646328852119959,0.000526373107779432,0.000197079638090119,0,0.000369861566099546,0,0,0,0,0,0,7.52097815693058e-05,0,0,9.91613780598368e-05,0.000455290475323256,0
"ASV_768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09728213648766e-05,0,2.04415372035977e-05,0,0.000517063081695967,0.000998293825098922,0.000125414315148258,0.000525492350503398,0.00116242206488429,0,3.84074725578609e-05,4.44693472789206e-05,7.53794096954672e-05,0.000112634077873469,4.7434729811779e-05,0.000107442545099008,0.000105871641222182,5.28499326163359e-05,0.000226654578422484,0.00100163904571116,0
"ASV_694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69486892310029e-05,0,0.000131332082551595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197769765566763,0,0,0,0.000126105676556955,8.86682035821954e-05,0,0,0.000126163065762498,0,0,0,0,0,0,0,0,0,0,0,8.79916533631667e-05,0,0.000139822532938962,0.00057828174892515,0.000657495448108436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000549186517470996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000196434142564968,0.000417373883524862,0.000200904068307383,0,0,0.000539921819320562,0,0,0.0002008351394549,6.13246116107931e-05,0,0,0,0,0.000274689183217685,0,0.000138958850810304,9.21779341388661e-05,0,7.53794096954672e-05,0,0,0,0,0,0,0,0
"ASV_270",0,0.000444704978674375,0.000327325545713058,0.00166458593424886,0.000912985462462252,0.00289398646635741,0.00275053814876824,0.0142212972597988,0.000393504551535979,0.000999788506277518,0.000523952095808383,0.000973078170613039,0,0.000432245515452777,0,0,0.000956848030018762,0.000605500493960929,0,0.00106648568727731,0.0410557184750733,0.0156561780506523,0.0145155063698366,0,0,0,0.00038627935723115,0,0,0,0,0,0,0,0.000101413021431952,0.000206238721319928,0.000265831416650293,0.000753319988807817,0.00408626560726447,0.0028843803471034,0.001613678500309,0.000402185206287495,0.000645915891276644,0.00025019093518738,0.00079107906226705,0.00031126087721435,0.000979431929480901,0,0.000162135869858942,0,0.000276978800468733,0,0.000425800346948431,0,0.000144116446088439,0,0,0,0,0.000454739995720094,0,0.000590461771385314,0.000843830992706889,0.000550492384855343,0.00100561889557905,0.000504734630281883,0.000580801290669535,0.00103085007417092,0.000758648593971272,0,0.000637815684837628,0,0,0,0,0.000183284457478006,0.000131721067467531,0,0.000104864672140603,0.000142334727483741,0,0,0,0.000211898940505297,0.000222872266332358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119430079659863,0,0,0,0,0,0,0,0,0,0,0,0.00122928428337279,0.000321929234101086
"ASV_152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000936229402953135,0,0.00128690386071158,0.000863922206818958,0.00112545109792648,0.00248890676655814,0.0015251763828083,0.00146275880613068,0.00241369773464411,0.00262998179243374,0,0.00137062519507661,0.000509401453292381,0.000180887901183524,0.000295477089972774,0,0,0,0,0,0,0,0,0,0.000472697636511817,0.000334308399498537,0,0,0,0,0,0,0,0,0,0.000301448838479944,0.000597289225821273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01446177224319e-05,8.86839304717985e-05,7.29596824794619e-05,0.00311531482343873,0.00453765993932199,0.000624242646788822,0.000846144833960348,0.01197579745706,0.00355335228454552,0.0173959929621431,0.0021630615640599,0.00256770398981697,0.001960130119276,0.00218282400773153,0.0181101931389178,0.0184816937653527,0.00892060660124889,0,0.00152525334226916,0.00328334121706224,0.00291310899045706,0.00239586542081665,0.00178879365814738,0.00317474029760491,0.00161590046053163,0.00169199579287533,0.00126358775240375,0.00161488143908422,0.00186840603707723,0.0110522233712513,0.00363015936399608,0.00266953327958434,0.00160036306744217,0.0023512628130614,0.00030397248614754,0.000299578285951315,0,0,0,0,0,0.000105871641222182,0,0.000283318223028105,0.00132034237843744,0.000380461822119465
"ASV_180",0,0,0,0,0,0.00123420011065242,0.000508251614446305,0,0.000236102730921588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153234960272418,0.00312881935956979,0.00494403625626588,0.000284881187786976,0.000628458705025924,0,0.000197769765566763,0,0,0,0,0,0,0,0,0,0,0,0,0.000278252573836308,0,0.00168521292531564,0.00242795312994827,0.00469341408024224,0.00518353324091375,0.00791485717780904,0.0154488202833331,0.0115430615447074,0.0110137133638075,0.0164181731325271,0.015122395306494,0,0.0038811762949694,0.000419507079181961,0.000241183868244698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_85",0,0,0,0,0,0,0.001464960535757,0.0194242108914325,0.000577140008919437,0.000711387975620542,0.00288173652694611,0,0,0,0.000322709238975683,0.000208575947716962,0.00110694183864916,0.000748908505688518,0,0.00310250381753399,0.110459433040078,0.0381580966999233,0.0332260970274096,0.00854700854700855,0.0078740157480315,0.00839374284624189,0.00288421920065925,0.000310863483105765,0.00141299959628583,0,0,0,0,0,0,0,0,0.000236757710768171,0.0036322360953462,0.00278660474211684,0.00271235322392364,0.00105573616650468,0.00134420334130545,0.00113244318032182,0.00149087977119559,0.00127210967209343,0,0.000567997403440441,0.000828694445945703,0.000570009880171256,0.000276978800468733,0.000493994072071135,0.00365872890711244,0.00272016686557215,0.00251002810270699,0.0031220382449685,0.00169690113530766,0.0035377827244902,0.00403330731199584,0.0128932163492403,0.013406523804497,0.0313398940196821,0.0344162497739738,0.0174322588537525,0.0273654041959448,0.015065231464718,0.0148749663888142,0.00917707992859478,0.0100141614404208,0.000480254971730446,0.00257840383232233,0.000374559892126751,0,0,0,0,0,0,0,0,0,0,0,0.00268948655256724,0.00169940103078423,0.00147325202270257,0.000476258030521047,0.000908995559906304,0.000533549047787062,9.30752047654505e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130540893353766,0,0,0,0,0,0,0,0,0.00119015980495245,0.0019060074014302,0.0039845973547631,0.00317166946184299,0.00238076853782205,0.00386584022633523,0.0011426724685188,0.00105178116854412,0.000895389996736429,0.00109362224039248,0.00134256721227106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013212483154084,0,0.00186669094882535,0.00229740407972138
