"","Date","Temp.moy","Precip.tot"
"1",2006-01-01,-9.7,0
"2",2006-01-02,-4.6,1.2
"3",2006-01-03,-8.4,0
"4",2006-01-04,-6.9,3.1
"5",2006-01-05,-1.1,6.5
"6",2006-01-06,-7.6,2.2
"7",2006-01-07,-11.8,0
"8",2006-01-08,-4.4,0
"9",2006-01-09,0.1,7.2
"10",2006-01-10,-2.2,0
"11",2006-01-11,3,9.4
"12",2006-01-12,4.3,5
"13",2006-01-13,7.4,0
"14",2006-01-14,2.5,6.2
"15",2006-01-15,-12.6,0
"16",2006-01-16,-15.5,0
"17",2006-01-17,-8.4,1.2
"18",2006-01-18,3.6,32.2
"19",2006-01-19,-0.9,0
"20",2006-01-20,4.6,1
"21",2006-01-21,1.9,4
"22",2006-01-22,-8.2,0
"23",2006-01-23,-1.5,2.4
"24",2006-01-24,-0.4,1.8
"25",2006-01-25,-1.4,5.8
"26",2006-01-26,-10.8,2.2
"27",2006-01-27,-10.5,0
"28",2006-01-28,3.3,0
"29",2006-01-29,-0.3,2.6
"30",2006-01-30,0.5,4
"31",2006-01-31,0.7,2.2
"32",2006-02-01,-2.8,0
"33",2006-02-02,1.4,0
"34",2006-02-03,5,7.4
"35",2006-02-04,4.2,1.4
"36",2006-02-05,4.1,12.6
"37",2006-02-06,-4.9,3
"38",2006-02-07,-9.2,1
"39",2006-02-08,-11.6,0
"40",2006-02-09,-13.3,0
"41",2006-02-10,-16.3,0
"42",2006-02-11,-14,0
"43",2006-02-12,-11.1,0
"44",2006-02-13,-10.3,4
"45",2006-02-14,-1.6,2.2
"46",2006-02-15,4.7,1.2
"47",2006-02-16,-0.9,0
"48",2006-02-17,-0.9,7.8
"49",2006-02-18,-15.9,0
"50",2006-02-19,-11.6,0
"51",2006-02-20,-5.6,0
"52",2006-02-21,-4,1.2
"53",2006-02-22,-2.4,2
"54",2006-02-23,0.6,1.9
"55",2006-02-24,-8.5,3.7
"56",2006-02-25,-14.1,1
"57",2006-02-26,-15.6,1
"58",2006-02-27,-15.5,0
"59",2006-02-28,-12.3,0
"60",2006-03-01,-11.8,0
"61",2006-03-02,-6.5,0
"62",2006-03-03,-10.9,4.2
"63",2006-03-04,-6.1,2.3
"64",2006-03-05,-5.4,0
"65",2006-03-06,-5,0
"66",2006-03-07,-7.3,0
"67",2006-03-08,-7.9,0
"68",2006-03-09,0.7,10
"69",2006-03-10,7.3,5.1
"70",2006-03-11,3.5,0
"71",2006-03-12,5.9,2.3
"72",2006-03-13,6.7,7.4
"73",2006-03-14,5.5,1
"74",2006-03-15,-4.3,1
"75",2006-03-16,-5.5,4
"76",2006-03-17,-9,0
"77",2006-03-18,-9.9,0
"78",2006-03-19,-7.5,1.4
"79",2006-03-20,-9.1,0
"80",2006-03-21,-4.5,0
"81",2006-03-22,-1.8,1
"82",2006-03-23,2.3,0
"83",2006-03-24,4,0
"84",2006-03-25,3.1,0
"85",2006-03-26,2.5,0
"86",2006-03-27,1,0
"87",2006-03-28,2.8,0
"88",2006-03-29,4.3,0
"89",2006-03-30,6.4,0
"90",2006-03-31,11.3,0
"91",2006-04-01,11.4,12.1
"92",2006-04-02,3.3,0
"93",2006-04-03,5.3,1.1
"94",2006-04-04,2,28.3
"95",2006-04-05,-0.1,1.2
"96",2006-04-06,3.6,0
"97",2006-04-07,3.6,20.2
"98",2006-04-08,-1.2,1
"99",2006-04-09,1.1,0
"100",2006-04-10,4.9,0
"101",2006-04-11,8.1,0
"102",2006-04-12,16.4,0
"103",2006-04-13,10.2,0
"104",2006-04-14,8.8,0
"105",2006-04-15,10.5,3.2
"106",2006-04-16,5.6,0
"107",2006-04-17,6.1,0
"108",2006-04-18,9.9,0
"109",2006-04-19,12.4,0
"110",2006-04-20,12.3,0
"111",2006-04-21,11.5,0
"112",2006-04-22,9.1,6.5
"113",2006-04-23,6,16.1
"114",2006-04-24,9.5,3.2
"115",2006-04-25,4.3,3
"116",2006-04-26,5,0
"117",2006-04-27,4,1
"118",2006-04-28,3.6,0
"119",2006-04-29,6.2,0
"120",2006-04-30,10,0
"121",2006-05-01,14.6,0
"122",2006-05-02,10.6,9.8
"123",2006-05-03,10.6,3.4
"124",2006-05-04,16.5,1.8
"125",2006-05-05,15.3,0
"126",2006-05-06,8.8,3.4
"127",2006-05-07,5.3,0
"128",2006-05-08,11.7,0
"129",2006-05-09,14.6,0
"130",2006-05-10,18.3,0
"131",2006-05-11,18.6,0
"132",2006-05-12,15.7,1.6
"133",2006-05-13,12.3,12.4
"134",2006-05-14,15.4,0.8
"135",2006-05-15,13.3,1.4
"136",2006-05-16,12.2,19.2
"137",2006-05-17,11.5,8.2
"138",2006-05-18,15,16.2
"139",2006-05-19,11,61
"140",2006-05-20,10.1,37.2
"141",2006-05-21,9.5,11.2
"142",2006-05-22,5.5,2.2
"143",2006-05-23,8.3,3.6
"144",2006-05-24,13,0
"145",2006-05-25,17.1,0
"146",2006-05-26,18.6,0.6
"147",2006-05-27,16.6,0
"148",2006-05-28,17.9,0
"149",2006-05-29,20.6,0
"150",2006-05-30,21.4,0
"151",2006-05-31,24,12.6
"152",2006-06-01,15.6,30.2
"153",2006-06-02,16.5,0.2
"154",2006-06-03,15,13
"155",2006-06-04,13.7,0.6
"156",2006-06-05,16.9,0
"157",2006-06-06,19.4,0
"158",2006-06-07,17.9,6
"159",2006-06-08,13.6,1.6
"160",2006-06-09,13.7,6.4
"161",2006-06-10,10.4,44.2
"162",2006-06-11,10.4,25.4
"163",2006-06-12,15.8,0
"164",2006-06-13,17.2,0.2
"165",2006-06-14,18,0
"166",2006-06-15,17.2,0.2
"167",2006-06-16,19.4,0
"168",2006-06-17,19,0
"169",2006-06-18,26.2,0
"170",2006-06-19,23.9,17.2
"171",2006-06-20,17.7,6
"172",2006-06-21,16.1,0
"173",2006-06-22,21.8,0
"174",2006-06-23,18.1,0
"175",2006-06-24,17.7,0
"176",2006-06-25,18.4,0
"177",2006-06-26,19.8,17.4
"178",2006-06-27,24.6,4.6
"179",2006-06-28,21.8,8
"180",2006-06-29,22.3,8.6
"181",2006-06-30,17.7,42.6
"182",2006-07-01,19.4,7.8
"183",2006-07-02,22.4,17.4
"184",2006-07-03,19.1,0
"185",2006-07-04,22.6,9.2
"186",2006-07-05,19.7,0
"187",2006-07-06,17.6,0
"188",2006-07-07,20,0
"189",2006-07-08,20.7,0
"190",2006-07-09,21.8,0
"191",2006-07-10,22.8,0
"192",2006-07-11,21.7,0
"193",2006-07-12,21,7.8
"194",2006-07-13,23.1,0
"195",2006-07-14,24.4,0
"196",2006-07-15,24.3,0.4
"197",2006-07-16,25,0
"198",2006-07-17,26.3,0
"199",2006-07-18,20.9,0.2
"200",2006-07-19,20.6,0
"201",2006-07-20,24.6,0
"202",2006-07-21,21.8,1.2
"203",2006-07-22,18.6,4.2
"204",2006-07-23,18.9,3.6
"205",2006-07-24,19.5,0
"206",2006-07-25,22.4,9.8
"207",2006-07-26,24.3,0.2
"208",2006-07-27,26.1,0
"209",2006-07-28,23.4,0
"210",2006-07-29,23.4,0
"211",2006-07-30,17.4,0
"212",2006-07-31,19.7,3.6
"213",2006-08-01,27.3,8.2
"214",2006-08-02,25.8,77
"215",2006-08-03,21.2,1.6
"216",2006-08-04,22.4,0
"217",2006-08-05,17.1,0
"218",2006-08-06,18.1,0
"219",2006-08-07,22.6,0.8
"220",2006-08-08,17.2,0
"221",2006-08-09,17.3,0
"222",2006-08-10,15.9,2
"223",2006-08-11,14.2,0.2
"224",2006-08-12,12.5,0
"225",2006-08-13,15.1,0
"226",2006-08-14,19.1,0.6
"227",2006-08-15,21.5,0
"228",2006-08-16,18.8,0
"229",2006-08-17,18.5,0
"230",2006-08-18,22.2,0
"231",2006-08-19,23,17
"232",2006-08-20,17.6,2.6
"233",2006-08-21,16.5,1.2
"234",2006-08-22,18.2,0
"235",2006-08-23,14.1,0
"236",2006-08-24,13.8,0.8
"237",2006-08-25,13.3,0
"238",2006-08-26,14.9,0
"239",2006-08-27,15.1,22
"240",2006-08-28,16.4,0
"241",2006-08-29,18.4,0.2
"242",2006-08-30,12.6,0
"243",2006-08-31,11.9,0
"244",2006-09-01,15.1,0
"245",2006-09-02,17.3,0
"246",2006-09-03,15.7,13.6
"247",2006-09-04,16.1,2.4
"248",2006-09-05,17.9,0
"249",2006-09-06,15.4,0
"250",2006-09-07,17.4,0
"251",2006-09-08,18.6,0
"252",2006-09-09,14,4.4
"253",2006-09-10,10.8,0
"254",2006-09-11,10.6,0
"255",2006-09-12,11.7,0
"256",2006-09-13,11.2,6.4
"257",2006-09-14,16.5,0.8
"258",2006-09-15,18.6,0.2
"259",2006-09-16,18.6,0
"260",2006-09-17,18.7,0
"261",2006-09-18,21.7,0
"262",2006-09-19,16.9,5.2
"263",2006-09-20,12.5,3
"264",2006-09-21,10.2,0
"265",2006-09-22,11.4,0
"266",2006-09-23,14.8,4.8
"267",2006-09-24,16.7,4
"268",2006-09-25,11.3,1.2
"269",2006-09-26,10.6,0
"270",2006-09-27,14,0
"271",2006-09-28,17.5,0
"272",2006-09-29,11.6,26.8
"273",2006-09-30,9.6,0.2
"274",2006-10-01,11.8,2.8
"275",2006-10-02,10.3,3.4
"276",2006-10-03,13.6,0.8
"277",2006-10-04,12.9,16.8
"278",2006-10-05,6.5,0
"279",2006-10-06,7.3,0
"280",2006-10-07,7.7,0
"281",2006-10-08,11,0
"282",2006-10-09,14.7,0
"283",2006-10-10,7.6,0
"284",2006-10-11,11.2,2.2
"285",2006-10-12,11.6,13
"286",2006-10-13,4.6,0
"287",2006-10-14,7.9,0.2
"288",2006-10-15,5.9,0.2
"289",2006-10-16,7.7,0
"290",2006-10-17,7.9,11.8
"291",2006-10-18,11.5,6.6
"292",2006-10-19,13.7,8.4
"293",2006-10-20,5,19
"294",2006-10-21,1.2,13.8
"295",2006-10-22,0.8,3.4
"296",2006-10-23,5.8,7.4
"297",2006-10-24,3.8,3.6
"298",2006-10-25,4.4,4.4
"299",2006-10-26,4.1,0
"300",2006-10-27,4.4,0
"301",2006-10-28,7.8,17.2
"302",2006-10-29,3.2,6.8
"303",2006-10-30,3,0
"304",2006-10-31,4.8,3.2
"305",2006-11-01,7.3,0
"306",2006-11-02,3.3,0
"307",2006-11-03,0.7,0
"308",2006-11-04,-0.1,0
"309",2006-11-05,2.8,0
"310",2006-11-06,6.7,0
"311",2006-11-07,9.4,0
"312",2006-11-08,9.6,7.4
"313",2006-11-09,9.8,0
"314",2006-11-10,6,0
"315",2006-11-11,6.7,16.1
"316",2006-11-12,2.9,3
"317",2006-11-13,8.2,3.2
"318",2006-11-14,8.8,16.9
"319",2006-11-15,8.8,1.4
"320",2006-11-16,14.3,5.6
"321",2006-11-17,11.4,8
"322",2006-11-18,2.6,0
"323",2006-11-19,0.9,0
"324",2006-11-20,-1.3,0
"325",2006-11-21,-1.1,0
"326",2006-11-22,0.7,0
"327",2006-11-23,2.2,0
"328",2006-11-24,-0.7,0
"329",2006-11-25,2.9,0
"330",2006-11-26,6,0
"331",2006-11-27,4.9,3
"332",2006-11-28,3.2,1.2
"333",2006-11-29,9.8,0
"334",2006-11-30,10.2,10.4
"335",2006-12-01,4,31.9
"336",2006-12-02,0.7,1
"337",2006-12-03,-0.7,1
"338",2006-12-04,-4.8,0
"339",2006-12-05,-7.9,0
"340",2006-12-06,-1.7,1
"341",2006-12-07,-2.9,2.6
"342",2006-12-08,-10.6,1
"343",2006-12-09,-3.6,2.2
"344",2006-12-10,2,0
"345",2006-12-11,1,3.4
