"","from","to","weight"
"1","vir_ASV_2","ASV_1030",-0.0355087105488035
"2","vir_ASV_3","ASV_27",-0.00927323818191664
"3","vir_ASV_3","ASV_633",-0.0353355830113314
"4","vir_ASV_3","ASV_697",-0.00377976580696737
"5","vir_ASV_3","ASV_735",-0.0362854288948696
"6","vir_ASV_3","ASV_1043",-0.0480581191693969
"7","vir_ASV_3","ASV_1061",-0.127197079254212
"8","vir_ASV_3","ASV_1968",-0.0499810816924721
"9","vir_ASV_4","ASV_7",0.00940114062637762
"10","vir_ASV_4","ASV_16",0.212382451630913
"11","vir_ASV_4","ASV_70",0.0383604076850231
"12","vir_ASV_5","ASV_625",0.0487279404230612
"13","vir_ASV_5","ASV_633",-0.000535624842151666
"14","vir_ASV_7","ASV_27",-0.066090450059544
"15","vir_ASV_7","ASV_244",0.0132558168237009
"16","vir_ASV_7","ASV_308",0.0648716063404634
"17","vir_ASV_8","ASV_144",0.0196512789798415
"18","vir_ASV_8","ASV_186",0.0468537443942831
"19","vir_ASV_8","ASV_198",0.0305754910362651
"20","vir_ASV_10","ASV_260",0.0363840920235551
"21","vir_ASV_10","ASV_318",0.0205959676250305
"22","vir_ASV_11","ASV_11",-0.0938875508414251
"23","vir_ASV_11","ASV_1149",0.0272916361260261
"24","vir_ASV_12","ASV_356",-0.0123708950443582
"25","vir_ASV_12","ASV_619",0.00515594737564848
"26","vir_ASV_14","ASV_227",0.0683715058503655
"27","vir_ASV_14","ASV_260",0.060545540376821
"28","vir_ASV_14","ASV_1043",0.130024314461671
"29","vir_ASV_15","ASV_27",-0.11133408746691
"30","vir_ASV_15","ASV_1043",-0.00105421707354819
"31","vir_ASV_16","ASV_657",-0.0739521477761463
"32","vir_ASV_16","ASV_838",0.00271107031101345
"33","vir_ASV_16","ASV_962",0.0213162172575897
"34","vir_ASV_16","ASV_1061",0.0934282168209292
"35","vir_ASV_17","ASV_113",0.0991532222634801
"36","vir_ASV_17","ASV_697",-0.00702958068944554
"37","vir_ASV_17","ASV_1030",-0.0134484836641469
"38","vir_ASV_18","ASV_1453",0.0258764358666485
"39","vir_ASV_19","ASV_11",0.0287858143256917
"40","vir_ASV_19","ASV_18",0.0154003650267964
"41","vir_ASV_19","ASV_27",-0.0247583014482316
"42","vir_ASV_19","ASV_70",0.0394816283529434
"43","vir_ASV_20","ASV_697",-0.0477949241925019
"44","vir_ASV_22","ASV_1673",-5.30804817865382e-05
"45","vir_ASV_23","ASV_88",-0.0396962106482814
"46","vir_ASV_24","ASV_85",-0.065310992800219
"47","vir_ASV_25","ASV_50",0.00137471129498612
"48","vir_ASV_26","ASV_7",0.0186793739421861
"49","vir_ASV_26","ASV_10",0.083992852881023
"50","vir_ASV_26","ASV_16",0.0529680802047716
"51","vir_ASV_26","ASV_83",-0.0556060918877138
"52","vir_ASV_26","ASV_101",-0.0208341572110326
"53","vir_ASV_26","ASV_318",-0.119333376099097
"54","vir_ASV_26","ASV_677",-0.02331495614837
"55","vir_ASV_27","ASV_55",-0.00671975145398818
"56","vir_ASV_28","ASV_200",0.0094390705525885
"57","vir_ASV_28","ASV_259",0.0505666778702602
"58","vir_ASV_28","ASV_335",0.131026215038619
"59","vir_ASV_30","ASV_88",-0.00913234245070024
"60","vir_ASV_32","ASV_88",0.0100324646449244
"61","vir_ASV_32","ASV_356",-0.0191878500069872
"62","vir_ASV_33","ASV_740",0.00902201382046244
"63","vir_ASV_34","ASV_41",-0.0326722469947754
"64","vir_ASV_34","ASV_200",0.00865443452514705
"65","vir_ASV_36","ASV_18",-0.0118488905490234
"66","vir_ASV_36","ASV_60",-0.22080736435905
"67","vir_ASV_40","ASV_1675",-0.00329729023346548
"68","vir_ASV_41","ASV_37",0.0880066863924832
"69","vir_ASV_41","ASV_60",0.0426060674035283
"70","vir_ASV_41","ASV_143",-0.0891959027518508
"71","vir_ASV_43","ASV_143",-0.0146714658037686
"72","vir_ASV_43","ASV_1453",-0.0210777156000716
"73","vir_ASV_44","ASV_683",0.0468613513743981
"74","vir_ASV_44","ASV_1030",-0.00671690054629778
"75","vir_ASV_44","ASV_1061",-0.00468887833318646
"76","vir_ASV_44","ASV_1321",-0.0537138388064211
"77","vir_ASV_45","ASV_50",0.0552718264590565
"78","vir_ASV_46","ASV_219",-0.0100754237496861
"79","vir_ASV_46","ASV_360",-0.027574883634781
"80","vir_ASV_46","ASV_535",0.0421993731763885
"81","vir_ASV_46","ASV_615",-0.0127411227144329
"82","vir_ASV_46","ASV_694",0.0405861301204549
"83","vir_ASV_46","ASV_962",0.119052982321386
"84","vir_ASV_46","ASV_1030",0.0171388107314226
"85","vir_ASV_47","ASV_18",0.0419766810964125
"86","vir_ASV_47","ASV_42",-0.0953467105874952
"87","vir_ASV_47","ASV_308",0.0504390786699729
"88","vir_ASV_47","ASV_1149",-0.0055631751444391
"89","vir_ASV_48","ASV_356",0.172435933834086
"90","vir_ASV_49","ASV_42",0.00748866860599084
"91","vir_ASV_49","ASV_227",0.10194167905325
"92","vir_ASV_50","ASV_42",0.0796247215026169
"93","vir_ASV_50","ASV_259",0.0224956551320136
"94","vir_ASV_50","ASV_1165",-0.000556466531901917
"95","vir_ASV_52","ASV_764",-0.00964766421790608
"96","vir_ASV_53","ASV_11",-0.0402974582978428
