SampleID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_1
ASV_2	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_2
ASV_3	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_3
ASV_4	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_4
ASV_5	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_5
ASV_6	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_6
ASV_7	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_7
ASV_8	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_8
ASV_9	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_9
ASV_10	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_10
ASV_11	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_11
ASV_12	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_12
ASV_13	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_13
ASV_14	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_14
ASV_15	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_15
ASV_16	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_16
ASV_17	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_17
ASV_18	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_18
ASV_19	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_19
ASV_20	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_20
ASV_21	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_21
ASV_22	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_22
ASV_23	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_23
ASV_24	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_24
ASV_25	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_25
ASV_26	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_26
ASV_27	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_27
ASV_28	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_28
ASV_29	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_29
ASV_30	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_30
ASV_31	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_31
ASV_32	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_32
ASV_33	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_33
ASV_34	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_34
ASV_35	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_35
ASV_36	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_36
ASV_37	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_37
ASV_38	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_38
ASV_39	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_39
ASV_40	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_40
ASV_41	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_41
ASV_42	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_42
ASV_43	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_43
ASV_44	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_44
ASV_45	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_45
ASV_46	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_46
ASV_47	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_47
ASV_48	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_48
ASV_49	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_49
ASV_50	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_50
ASV_51	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_51
ASV_52	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_52
ASV_53	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_53
ASV_54	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_54
ASV_55	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_55
ASV_56	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_56
ASV_57	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_57
ASV_58	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_58
ASV_59	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_59
ASV_60	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_60
ASV_61	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_61
ASV_62	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_62
ASV_63	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_63
ASV_64	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_64
ASV_65	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_65
ASV_66	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_66
ASV_67	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_67
ASV_68	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_68
ASV_69	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_69
ASV_70	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_70
ASV_71	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_71
ASV_72	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_72
ASV_73	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_73
ASV_74	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_74
ASV_75	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_75
ASV_76	k__Virus	p__unknown	c__unknown	o__unknown	f__Myoviridae	g__unknown	s__ASV_76
