"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Qualité des Données","Temp max.(°C)","Temp max. Indicateur","Temp min.(°C)","Temp min. Indicateur","Temp moy.(°C)","Temp moy. Indicateur","DJC (°C)","DJC Indicateur","DJR (°C)","DJR Indicateur","Pluie tot. (mm)","Pluie tot. Indicateur","Neige tot. (cm)","Neige tot. Indicateur","Précip. tot. (mm)","Précip. tot. Indicateur","Neige au sol (cm)","Neige au sol Indicateur","Dir. raf. max. (10s deg)","Dir. raf. max. Indicateur","Vit. raf. max. (km/h)","Vit. raf. max. Indicateur"
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-01","2011","01","01","","10,0","","4,2","","7,1","","10,9","","0,0","","","M","","M","2,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-02","2011","01","02","","8,8","","-3,0","","2,9","","15,1","","0,0","","","M","","M","2,4","","","","17","","39",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-03","2011","01","03","","-2,6","","-5,9","","-4,3","","22,3","","0,0","","","M","","M","0,0","","","","27","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-04","2011","01","04","","-3,1","","-8,3","","-5,7","","23,7","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-05","2011","01","05","","-4,9","","-11,4","","-8,2","","26,2","","0,0","","","M","","M","2,0","","","","28","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-06","2011","01","06","","-5,5","","-11,1","","-8,3","","26,3","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-07","2011","01","07","","-3,6","","-8,0","","-5,8","","23,8","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-08","2011","01","08","","-3,9","","-9,2","","-6,6","","24,6","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-09","2011","01","09","","-5,2","","-9,1","","-7,2","","25,2","","0,0","","","M","","M","2,6","","","","27","","41",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-10","2011","01","10","","-8,4","","-10,0","","-9,2","","27,2","","0,0","","","M","","M","1,2","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-11","2011","01","11","","-6,6","","-12,2","","-9,4","","27,4","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-12","2011","01","12","","-6,3","","-12,8","","-9,6","","27,6","","0,0","","","M","","M","2,2","","","","1","","39",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-13","2011","01","13","","-7,3","","-11,0","","-9,2","","27,2","","0,0","","","M","","M","1,0","","","","30","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-14","2011","01","14","","-8,4","","-11,5","","-10,0","","28,0","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-15","2011","01","15","","-4,4","","-15,0","","-9,7","","27,7","","0,0","","","M","","M","6,2","","","","22","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-16","2011","01","16","","-7,5","","-18,7","","-13,1","","31,1","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-17","2011","01","17","","-12,0","","-23,9","","-18,0","","36,0","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-18","2011","01","18","","1,2","","-12,0","","-5,4","","23,4","","0,0","","","M","","M","9,8","","","","17","","43",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-19","2011","01","19","","-0,3","","-11,1","","-5,7","","23,7","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-20","2011","01","20","","-9,0","","-12,7","","-10,9","","28,9","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-21","2011","01","21","","-9,3","","-15,3","","-12,3","","30,3","","0,0","","","M","","M","3,2","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-22","2011","01","22","","-10,8","","-21,6","","-16,2","","34,2","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-23","2011","01","23","","-18,0","","-27,2","","-22,6","","40,6","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-24","2011","01","24","","-17,5","","-33,3","","-25,4","","43,4","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-25","2011","01","25","","-6,3","","-18,6","","-12,5","","30,5","","0,0","","","M","","M","2,2","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-26","2011","01","26","","-0,4","","-9,2","","-4,8","","22,8","","0,0","","","M","","M","1,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-27","2011","01","27","","-4,7","","-9,8","","-7,3","","25,3","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-28","2011","01","28","","0,7","","-5,9","","-2,6","","20,6","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-29","2011","01","29","","-3,2","","-9,4","","-6,3","","24,3","","0,0","","","M","","M","1,4","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-30","2011","01","30","","-7,8","","-15,8","","-11,8","","29,8","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-01-31","2011","01","31","","-14,9","","-22,0","","-18,5","","36,5","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-01","2011","02","01","","-10,5","","-19,7","","-15,1","","33,1","","0,0","","","M","","M","2,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-02","2011","02","02","","-7,8","","-13,6","","-10,7","","28,7","","0,0","","","M","","M","21,4","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-03","2011","02","03","","-6,9","","-14,1","","-10,5","","28,5","","0,0","","","M","","M","1,0","","","","18","","32",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-04","2011","02","04","","-3,4","","-9,4","","-6,4","","24,4","","0,0","","","M","","M","0,0","","","","23","","39",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-05","2011","02","05","","3,9","","-6,0","","-1,1","","19,1","","0,0","","","M","","M","17,6","","","","34","","35",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-06","2011","02","06","","-0,2","","-4,0","","-2,1","","20,1","","0,0","","","M","","M","2,2","","","","29","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-07","2011","02","07","","1,4","","-1,1","","0,2","","17,8","","0,0","","","M","","M","3,4","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-08","2011","02","08","","0,0","","-17,9","","-9,0","","27,0","","0,0","","","M","","M","4,6","","","","26","","37",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-09","2011","02","09","","-5,8","","-16,6","","-11,2","","29,2","","0,0","","","M","","M","0,0","","","","23","","46",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-10","2011","02","10","","-8,3","","-15,2","","-11,8","","29,8","","0,0","","","M","","M","1,0","","","","27","","33",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-11","2011","02","11","","-6,4","","-13,1","","-9,8","","27,8","","0,0","","","M","","M","0,0","","","","","","<31",""
"-72,85","45,03","FRELIGHSBURG","7022579","2011-02-12","2011","02","12","","-1,3","","-9,2","","-5,3","","23,3","","0,0","","","M","","M","1,0","","","","23","","43",""
