"","from","to","weight"
"1","vir_ASV_2","ASV_89",-0.0355087105488035
"2","vir_ASV_3","ASV_7",-0.0353355830113314
"3","vir_ASV_3","ASV_18",-0.00377976580696737
"4","vir_ASV_3","ASV_27",-0.0362854288948696
"5","vir_ASV_3","ASV_101",-0.0480581191693969
"6","vir_ASV_3","ASV_113",-0.127197079254212
"7","vir_ASV_3","ASV_259",-0.0499810816924721
"8","vir_ASV_5","ASV_7",-0.000535624842151666
"9","vir_ASV_11","ASV_129",0.0272916361260261
"10","vir_ASV_14","ASV_101",0.130024314461671
"11","vir_ASV_15","ASV_101",-0.00105421707354819
"12","vir_ASV_16","ASV_8",-0.0739521477761463
"13","vir_ASV_16","ASV_60",0.00271107031101345
"14","vir_ASV_16","ASV_83",0.0213162172575897
"15","vir_ASV_16","ASV_113",0.0934282168209292
"16","vir_ASV_17","ASV_18",-0.00702958068944554
"17","vir_ASV_17","ASV_89",-0.0134484836641469
"18","vir_ASV_18","ASV_171",0.0258764358666485
"19","vir_ASV_20","ASV_18",-0.0477949241925019
"20","vir_ASV_22","ASV_219",-5.30804817865382e-05
"21","vir_ASV_26","ASV_10",-0.02331495614837
"22","vir_ASV_33","ASV_37",0.00902201382046244
"23","vir_ASV_40","ASV_227",-0.00329729023346548
"24","vir_ASV_43","ASV_171",-0.0210777156000716
"25","vir_ASV_44","ASV_11",0.0468613513743981
"26","vir_ASV_44","ASV_89",-0.00671690054629778
"27","vir_ASV_44","ASV_113",-0.00468887833318646
"28","vir_ASV_44","ASV_144",-0.0537138388064211
"29","vir_ASV_46","ASV_16",0.0405861301204549
"30","vir_ASV_46","ASV_83",0.119052982321386
"31","vir_ASV_46","ASV_89",0.0171388107314226
"32","vir_ASV_47","ASV_129",-0.0055631751444391
"33","vir_ASV_50","ASV_131",-0.000556466531901917
"34","vir_ASV_52","ASV_41",-0.00964766421790608
"35","vir_ASV_53","ASV_88",-0.0242312212223057
"36","vir_ASV_53","ASV_131",0.0184536609143674
"37","vir_ASV_55","ASV_20",0.218428383636902
"38","vir_ASV_55","ASV_259",-0.0677504552398795
"39","vir_ASV_57","ASV_83",0.0734077591826619
"40","vir_ASV_62","ASV_11",-0.00761711107622035
"41","vir_ASV_66","ASV_8",0.013282346932948
"42","vir_ASV_67","ASV_37",0.115021209732572
"43","vir_ASV_69","ASV_131",-0.00681489426441292
"44","vir_ASV_70","ASV_37",0.0686032540334846
"45","vir_ASV_70","ASV_131",-0.0213438025111158
"46","vir_ASV_71","ASV_10",-0.0725407147181809
"47","vir_ASV_73","ASV_227",0.0376948207656626
"48","vir_ASV_74","ASV_50",0.0667477397910954
"49","vir_ASV_76","ASV_244",0.0166890975906736
"50","vir_ASV_79","ASV_37",0.0144464159196481
"51","vir_ASV_80","ASV_50",-0.0492258681014575
"52","vir_ASV_84","ASV_88",-0.0190475083808812
"53","vir_ASV_88","ASV_18",-0.067026391243512
"54","vir_ASV_91","ASV_143",0.0118958004748601
"55","vir_ASV_92","ASV_55",-0.0646037576206536
"56","vir_ASV_92","ASV_171",-0.0489009110180008
"57","vir_ASV_92","ASV_200",-0.108762453772063
"58","vir_ASV_92","ASV_244",-0.00601123362260744
"59","vir_ASV_94","ASV_83",0.103258713537566
"60","vir_ASV_95","ASV_83",0.0601654401993512
